Date,Player,Player ID,Team,Positions,Status,Roster Status,Change,Game
Sep 23,Ladd McConkey,40908,LAC,WR,,Dave’s Bone Crushers,Off Injured Reserve,Sun 1:00 pm @ Buf
Sep 23,Cole Bishop,40912,Buf,S,,FA,Off Injured Reserve,Sun 1:00 pm vs LAC
Sep 23,Brian Thomas Jr.,40883,Jax,WR,,Owl Out Blitz,Off Injured Reserve,Sun 1:00 pm vs NE
Sep 23,Brock Bowers,40878,LV,TE,Q,Owl Out Blitz,Off Injured Reserve,Sun 4:25 pm @ NO
Sep 23,Chop Robinson,40879,Mia,DE,Q,FA,Off Injured Reserve,Sun 1:00 pm vs KC
Sep 23,Sean Tucker,40742,TB,RB,,FA,Off Injured Reserve,Sun 4:05 pm vs Min
Sep 23,Christian Izien,40681,Det,"S,CB",,FA,Off Injured Reserve,Sun 1:00 pm vs NYJ
Sep 23,Ty Okada,40469,Sea,S,Q,FA,Off Injured Reserve,Sun 1:00 pm @ Was
Sep 23,Austin Ajiake,40297,Ind,LB,,FA,Off Injured Reserve,Sun 1:00 pm vs Hou
Sep 23,Christian Braswell,40208,Jax,CB,,FA,Off Injured Reserve,Sun 1:00 pm vs NE
Sep 23,Puka Nacua,40168,LAR,WR,Q,Owl Out Blitz,Off Injured Reserve,Sun 8:20 pm @ Den
Sep 23,Chamarri Conner,40160,KC,"DB,S",Q,FA,Off Injured Reserve,Sun 1:00 pm @ Mia
Sep 23,Aidan O'Connell,40138,LV,QB,Q,FA,Off Injured Reserve,Sun 4:25 pm @ NO
Sep 23,Derius Davis,40133,LAC,WR,,FA,Off Injured Reserve,Sun 1:00 pm @ Buf
Sep 23,Garrett Williams,40127,Ari,CB,Q,FA,Off Injured Reserve,Sun 4:05 pm @ SF
Sep 23,Byron Young,40124,LAR,LB,,FA,Off Injured Reserve,Sun 8:20 pm @ Den
Sep 23,DeMarvion Overshown,40099,Dal,LB,Q,FA,Off Injured Reserve,Sun 4:25 pm vs Bal
Sep 23,Darnell Washington,40094,Pit,TE,,FA,Off Injured Reserve,Sun 1:00 pm vs Cin
Sep 23,Marvin Mims Jr.,40090,Den,WR,Q,FA,Off Injured Reserve,Sun 8:20 pm vs LAR
Sep 23,Rashee Rice,40084,KC,WR,,Locked In Michelle,Off Injured Reserve,Sun 1:00 pm @ Mia
Sep 23,Joey Porter Jr.,40089,Pit,CB,Q,FA,Off Injured Reserve,Sun 1:00 pm vs Cin
Sep 23,Keion White,40080,SF,"LB,DE",,FA,Off Injured Reserve,Sun 4:05 pm vs Ari
Sep 23,Jayden Reed,40063,GB,WR,O,Locked In Michelle,On Injured Reserve,Thu 8:15 pm vs Atl
Sep 23,Deonte Banks,40053,NYG,CB,Q,FA,Off Injured Reserve,Sun 1:00 pm vs Ten
Sep 23,Will McDonald IV,40038,NYJ,"DL,DE",,FA,Off Injured Reserve,Sun 1:00 pm @ Det
Sep 23,Zay Flowers,40039,Bal,WR,Q,Jason's Jazzy Team,Off Injured Reserve,Sun 4:25 pm @ Dal
Sep 23,Anthony Richardson Sr.,40040,Ind,QB,,FA,Off Injured Reserve,Sun 1:00 pm vs Hou
Sep 23,Jalen Carter,40035,Phi,"DT,DE",,FA,Off Injured Reserve,Mon 8:15 pm @ Chi
Sep 23,Lukas Van Ness,40037,GB,"LB,DE",,FA,Off Injured Reserve,Thu 8:15 pm vs Atl
Sep 23,Jack Gibbens,34454,Ari,LB,,FA,Off Injured Reserve,Sun 4:05 pm @ SF
Sep 23,Josh Jobe,34383,Sea,CB,,FA,Off Injured Reserve,Sun 1:00 pm @ Was
Sep 23,Jake Hummel,34342,Hou,LB,Q,FA,Off Injured Reserve,Sun 1:00 pm @ Ind
Sep 23,Nate Landman,34291,LAR,LB,Q,FA,Off Injured Reserve,Sun 8:20 pm @ Den
Sep 23,Deane Leonard,34192,LAC,"DB,CB",,FA,Off Injured Reserve,Sun 1:00 pm @ Buf
Sep 23,Nick Muse,34183,Atl,TE,,FA,On Injured Reserve,Thu 8:15 pm @ GB
Sep 23,Bo Melton,34185,GB,WR,,FA,On Injured Reserve,Thu 8:15 pm vs Atl
Sep 23,James Houston,34173,Dal,"DL,LB,DE",,FA,Off Injured Reserve,Sun 4:25 pm vs Bal
Sep 23,Micah McFadden,34102,NYG,LB,,FA,Off Injured Reserve,Sun 1:00 pm vs Ten
Sep 23,Chig Okonkwo,34099,Was,TE,Q,FA,Off Injured Reserve,Sun 1:00 pm vs Sea
Sep 23,Brian Robinson,34054,Atl,RB,,FA,On Injured Reserve,Thu 8:15 pm @ GB
Sep 23,Terrel Bernard,34045,Buf,LB,,FA,Off Injured Reserve,Sun 1:00 pm vs LAC
Sep 23,Malik Willis,34042,Mia,QB,,FA,Off Injured Reserve,Sun 1:00 pm vs KC
Sep 23,Cor'Dale Flott,34037,Ten,CB,Q,FA,Off Injured Reserve,Sun 1:00 pm @ NYG
Sep 23,Trey McBride,34010,Ari,TE,,Maybe Mitchell,Off Injured Reserve,Sun 4:05 pm @ SF
Sep 23,Alec Pierce,34008,Ind,WR,O,W (Sep 26),Off Injured Reserve,Sun 1:00 pm vs Hou
Sep 23,Logan Hall,33988,Hou,DE,Q,FA,Off Injured Reserve,Sun 1:00 pm @ Ind
Sep 23,Devonte Wyatt,33983,GB,"DL,DT",,FA,Off Injured Reserve,Thu 8:15 pm vs Atl
Sep 23,Dax Hill,33986,Cin,"S,CB",,FA,Off Injured Reserve,Sun 1:00 pm @ Pit
Sep 23,Chris Olave,33966,NO,WR,,Sunday Kevin,Off Injured Reserve,Sun 4:25 pm vs LV
Sep 23,Sauce Gardner,33959,Ind,CB,,FA,Off Injured Reserve,Sun 1:00 pm vs Hou
Sep 23,Roy Lopez,33583,Ari,DT,,FA,Off Injured Reserve,Sun 4:05 pm @ SF
Sep 23,Jamien Sherwood,33534,NYJ,LB,,FA,Off Injured Reserve,Sun 1:00 pm @ Det
Sep 23,Kene Nwangwu,33507,NYJ,RB,Q,FA,Off Injured Reserve,Sun 1:00 pm @ Det
Sep 23,Bobby Brown III,33505,Car,"DT,DE",,FA,Off Injured Reserve,Sun 1:00 pm @ Cle
Sep 23,Elijah Molden,33488,LAC,"S,CB",Q,FA,Off Injured Reserve,Sun 1:00 pm @ Buf
Sep 23,Nico Collins,33477,Hou,WR,Q,Steel City,Off Injured Reserve,Sun 1:00 pm @ Ind
