Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Skylar Thompson,34203,Bal,QB,IR,Sun 4:25 pm @ Dal,FA,-,13,0.00,"2,854",977,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Tommy DeVito,40533,NE,QB,,Sun 1:00 pm @ Jax,FA,1,11,0.00,"2,822","1,041",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Adrian Martinez,40299,SF,QB,NA,Sun 4:05 pm vs Ari,FA,-,8,0.00,"2,806",959,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Tanner McKee,40220,Phi,QB,,Mon 8:15 pm @ Chi,FA,1,10,0.00,"2,876",916,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Clayton Tune,40188,GB,QB,NA,Thu 8:15 pm vs Atl,FA,-,11,0.00,"2,872",900,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Sean Clifford,40173,Cin,QB,NA,Sun 1:00 pm @ Pit,FA,-,6,0.00,"2,846",891,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Stetson Bennett IV,40153,LAR,QB,,Sun 8:20 pm @ Den,FA,1,11,0.00,"2,869",878,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jake Haener,40144,NYG,QB,NA,Sun 1:00 pm vs Ten,FA,-,8,0.00,"2,868",871,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Aidan O'Connell,40138,LV,QB,Q,Sun 4:25 pm @ NO,FA,1,13,0.00,"2,792",868,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Hendon Hooker,40096,Ten,QB,NA,Sun 1:00 pm @ NYG,FA,-,9,0.00,"2,839",849,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Joe Flacco,8795,Cin,QB,,Sun 1:00 pm @ Pit,FA,1,6,0.00,"2,095",733,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Anthony Richardson Sr.,40040,Ind,QB,,Sun 1:00 pm vs Hou,FA,1,13,0.00,"2,767",826,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Chris Oladokun,34197,KC,QB,NA,Sun 1:00 pm @ Mia,FA,-,5,0.00,"2,844",975,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Zach Wilson,33390,NO,QB,,Sun 4:25 pm vs LV,FA,1,8,0.00,"2,885",736,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Sam Howell,34100,Dal,QB,,Sun 4:25 pm vs Bal,FA,1,14,0.00,"2,831",937,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Bailey Zappe,34093,NYJ,QB,NA,Sun 1:00 pm @ Det,FA,-,13,0.00,"2,837",931,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Desmond Ridder,34030,GB,QB,NA,Thu 8:15 pm vs Atl,FA,-,11,0.00,"2,865",893,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kenny Pickett,33975,Car,QB,,Sun 1:00 pm @ Cle,FA,1,5,0.00,"2,888",857,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Shane Buechele,33879,Buf,QB,NA,Sun 1:00 pm vs LAC,FA,-,7,0.00,"2,823",818,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Sam Ehlinger,33606,Den,QB,,Sun 8:20 pm vs LAR,FA,-,10,0.00,"2,845",765,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Davis Mills,33455,Hou,QB,,Sun 1:00 pm @ Ind,FA,1,8,0.00,"2,725",744,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyle Trask,33452,Car,QB,NA,Sun 1:00 pm @ Cle,FA,-,5,0.00,"2,848",743,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Mac Jones,33403,SF,QB,,Sun 4:05 pm vs Ari,FA,1,8,0.00,"2,692",739,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Justin Fields,33399,KC,QB,,Sun 1:00 pm @ Mia,FA,1,5,0.00,333,738,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Trey Lance,33391,LAC,QB,,Sun 1:00 pm @ Buf,FA,1,7,0.00,"2,880",737,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
E.J. Warner,43402,Den,QB,NA,Sun 8:20 pm vs LAR,FA,-,10,0.00,"2,852",670,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
