Date,Player,Player ID,Team,Positions,Status,Roster Status,Change,Game
Apr 6,Sam Kamara,33908,Cle,"DT,DE",NA,FA,Added DE,Sun 1:00 pm vs Car
Apr 6,Sam Kamara,33908,Cle,"DT,DE",NA,FA,Added DT,Sun 1:00 pm vs Car
Apr 6,Zack Kuntz,40255,Dal,TE,NA,FA,Added TE,Sun 4:25 pm vs Bal
Apr 6,Joseph Vaughn,42603,Sea,LB,NA,FA,Added LB,Sun 1:00 pm @ Was
Apr 6,Caleb Murphy,40330,LAC,LB,NA,FA,Added LB,Sun 1:00 pm @ Buf
Apr 6,M.J. Stewart,31023,Hou,S,PUP-R,FA,Added S,Sun 1:00 pm @ Ind
Apr 6,Terrion Arnold,40902,Sea,CB,CEL,FA,Added CB,Sun 1:00 pm @ Was
Apr 6,Simi Fehoko,33567,Ari,WR,,FA,Added WR,Sun 4:05 pm @ SF
Apr 6,Dwight McGlothern Jr.,41210,Min,CB,NA,FA,Added CB,Sun 4:05 pm @ TB
Apr 6,Geno Stone,32889,Buf,S,NA,FA,Added S,Sun 1:00 pm vs LAC
Apr 6,Yasir Abdullah,40183,Atl,LB,,FA,Added LB,Thu 8:15 pm @ GB
Apr 6,Wande Owens,42412,Buf,S,NA,FA,Added S,Sun 1:00 pm vs LAC
Apr 6,Keidron Smith,40654,Chi,"DB,CB",NA,FA,Added DB,Mon 8:15 pm vs Phi
Apr 6,Keidron Smith,40654,Chi,"DB,CB",NA,FA,Added CB,Mon 8:15 pm vs Phi
Apr 6,Shaun Dolac,42314,LAR,LB,,FA,Added LB,Sun 8:20 pm @ Den
Apr 6,Matthew Golden,41808,GB,WR,,Owl Out Blitz,Added WR,Thu 8:15 pm vs Atl
Apr 6,Terrace Marshall Jr.,33447,Mia,WR,NA,FA,Added WR,Sun 1:00 pm vs KC
Apr 6,Malachi Corley,40944,Cle,WR,,FA,Added WR,Sun 1:00 pm vs Car
Apr 6,Jamaal Pritchett,42233,NYJ,WR,NA,FA,Added WR,Sun 1:00 pm @ Det
Apr 6,Chris Jones,29271,KC,DT,Q,FA,Added DT,Sun 1:00 pm @ Mia
Apr 6,Tanner Hudson,31257,Cin,TE,NA,FA,Added TE,Sun 1:00 pm @ Pit
Apr 6,Reuben Lowery III,42472,Ind,S,NA,FA,Added S,Sun 1:00 pm vs Hou
Apr 6,Michael Mayer,40065,LV,TE,,FA,Added TE,Sun 4:25 pm @ NO
Apr 6,Dylan Laube,41054,LV,RB,,FA,Added RB,Sun 4:25 pm @ NO
Apr 6,DeeJay Dallas,32814,Min,RB,Q,FA,Added RB,Sun 4:05 pm @ TB
Apr 6,Jaden Davis,41124,Ari,"DB,CB",NA,FA,Added DB,Sun 4:05 pm @ SF
Apr 6,Jaden Davis,41124,Ari,"DB,CB",NA,FA,Added CB,Sun 4:05 pm @ SF
Apr 6,Charvarius Ward,31293,Ind,CB,Q,FA,Added CB,Sun 1:00 pm vs Hou
Apr 6,Ja'Tavion Sanders,40995,Car,TE,,FA,Added TE,Sun 1:00 pm @ Cle
Apr 6,DeWayne Carter,40943,Buf,DT,,FA,Added DT,Sun 1:00 pm vs LAC
Apr 6,Sam Roberts,34156,Atl,"DL,DT,DE",NA,FA,Added DE,Thu 8:15 pm @ GB
Apr 6,Sam Roberts,34156,Atl,"DL,DT,DE",NA,FA,Added DL,Thu 8:15 pm @ GB
Apr 6,Sam Roberts,34156,Atl,"DL,DT,DE",NA,FA,Added DT,Thu 8:15 pm @ GB
Apr 6,Sam Howell,34100,Dal,QB,,FA,Added QB,Sun 4:25 pm vs Bal
Apr 6,Brandon McManus,27120,GB,K,NA,FA,Added K,Thu 8:15 pm vs Atl
Apr 6,Chase Brown,40196,Cin,RB,,Steel City,Added RB,Sun 1:00 pm @ Pit
Apr 6,Melvin Smith Jr.,42431,KC,CB,NA,FA,Added CB,Sun 1:00 pm @ Mia
Apr 6,Bhayshul Tuten,41900,Jax,RB,,Steel City,Added RB,Sun 1:00 pm vs NE
Apr 6,Junior Tafuna,42366,Hou,DT,NA,FA,Added DT,Sun 1:00 pm @ Ind
Apr 6,Austin Hooper,29315,Atl,TE,,FA,Added TE,Thu 8:15 pm @ GB
Apr 6,C.J. Ravenell,41582,NYG,DE,NA,FA,Added DE,Sun 1:00 pm vs Ten
Apr 6,Xavier Worthy,40877,KC,WR,,FA,Added WR,Sun 1:00 pm @ Mia
Apr 6,Coleman Owen,42130,Ind,WR,NA,FA,Added WR,Sun 1:00 pm vs Hou
Apr 6,Jevon Holland,33424,NYG,S,,FA,Added S,Sun 1:00 pm vs Ten
Apr 6,Vernon Broughton,41875,NO,"DT,DE",,FA,Added DE,Sun 4:25 pm vs LV
Apr 6,Vernon Broughton,41875,NO,"DT,DE",,FA,Added DT,Sun 4:25 pm vs LV
Apr 6,T.J. Maguranyanga,41783,Was,"DL,LB,DE",NA,FA,Added DE,Sun 1:00 pm vs Sea
Apr 6,T.J. Maguranyanga,41783,Was,"DL,LB,DE",NA,FA,Added LB,Sun 1:00 pm vs Sea
Apr 6,T.J. Maguranyanga,41783,Was,"DL,LB,DE",NA,FA,Added DL,Sun 1:00 pm vs Sea
Apr 6,Tyrel Dodson,32411,Car,LB,,FA,Added LB,Sun 1:00 pm @ Cle
Apr 6,Calen Bullock,40948,Hou,S,,FA,Added S,Sun 1:00 pm @ Ind
Apr 6,Mac Jones,33403,SF,QB,,FA,Added QB,Sun 4:05 pm vs Ari
Apr 6,Chris Braswell,40924,Hou,LB,NA,FA,Added LB,Sun 1:00 pm @ Ind
Apr 6,Owen Wright,40639,Hou,RB,NA,FA,Added RB,Sun 1:00 pm @ Ind
Apr 6,Cedric Johnson,41067,Cin,DE,,FA,Added DE,Sun 1:00 pm @ Pit
Apr 6,Quintin Morris,33819,Jax,TE,,FA,Added TE,Sun 1:00 pm vs NE
Apr 6,Jonathan Allen,30130,Cin,DT,Q,FA,Added DT,Sun 1:00 pm @ Pit
Apr 6,Josh Johnson,8937,Cin,QB,NA,FA,Added QB,Sun 1:00 pm @ Pit
Apr 6,Trey McBride,34010,Ari,TE,,Maybe Mitchell,Added TE,Sun 4:05 pm @ SF
Apr 6,Ty Okada,40469,Sea,S,Q,FA,Added S,Sun 1:00 pm @ Was
Apr 6,Adam Trautman,32775,Den,TE,,FA,Added TE,Sun 8:20 pm vs LAR
Apr 6,Fadil Diggs,42021,NO,"LB,DE",NA,FA,Added DE,Sun 4:25 pm vs LV
Apr 6,Fadil Diggs,42021,NO,"LB,DE",NA,FA,Added LB,Sun 4:25 pm vs LV
Apr 6,Dru Phillips,40969,NYG,"DB,CB",,FA,Added DB,Sun 1:00 pm vs Ten
Apr 6,Dru Phillips,40969,NYG,"DB,CB",,FA,Added CB,Sun 1:00 pm vs Ten
Apr 6,Nick Kallerup,42465,Sea,TE,,FA,Added TE,Sun 1:00 pm @ Was
Apr 6,David Martin-Robinson,41662,Ten,TE,,FA,Added TE,Sun 1:00 pm @ NYG
Apr 6,Wil Lutz,29754,Den,K,,FA,Added K,Sun 8:20 pm vs LAR
Apr 6,Keni-H Lovely,41273,Jax,CB,NA,FA,Added CB,Sun 1:00 pm vs NE
Apr 6,Jaylon Hutchings,41756,Chi,DT,NA,FA,Added DT,Mon 8:15 pm vs Phi
Apr 6,Jackson Meeks,42238,Det,"WR,TE",,FA,Added WR,Sun 1:00 pm vs NYJ
Apr 6,Jaquan Brisker,34003,Pit,"DB,S",,FA,Added S,Sun 1:00 pm vs Cin
Apr 6,Jaquan Brisker,34003,Pit,"DB,S",,FA,Added DB,Sun 1:00 pm vs Cin
Apr 6,Hunter Henry,29269,NE,TE,,Monday Night Madison,Added TE,Sun 1:00 pm @ Jax
