Date,Player,Player ID,Team,Positions,Status,Roster Status,Change,Game
Apr 6,Jacob Cowing,40996,SF,WR,,FA,to NFC,Sun 4:05 pm vs Ari
Apr 6,Trey Washington,42135,Ind,S,NA,FA,to AFC,Sun 1:00 pm vs Hou
Apr 6,Will Howard,41989,Pit,QB,,FA,to AFC,Sun 1:00 pm vs Cin
Apr 6,Jacoby Jones,42436,Was,WR,NA,FA,to NFC,Sun 1:00 pm vs Sea
Apr 6,Jordan Hancock,41956,Buf,"S,CB",Q,FA,to AFC,Sun 1:00 pm vs LAC
Apr 6,Howard Cross III,42051,Cin,DT,NA,FA,to AFC,Sun 1:00 pm @ Pit
Apr 6,Amik Robertson,32809,Was,CB,,FA,to NFC,Sun 1:00 pm vs Sea
Apr 6,Calvin Austin III,34094,NYG,WR,IR,FA,to NFC,Sun 1:00 pm vs Ten
Apr 6,Nathaniel Watson,41068,Cle,LB,O,FA,to AFC,Sun 1:00 pm vs Car
Apr 6,TreVeyon Henderson,41823,NE,RB,,Steel City,to AFC,Sun 1:00 pm @ Jax
Apr 6,Nick Nash,42185,Was,WR,NA,FA,to NFC,Sun 1:00 pm vs Sea
Apr 6,Ty'Ron Hopper,40972,GB,LB,,FA,to NFC,Thu 8:15 pm vs Atl
Apr 6,Tyron Herring,42252,NE,CB,NA,FA,to NFC,Sun 1:00 pm @ Jax
Apr 6,Cor'Dale Flott,34037,Ten,CB,Q,FA,to AFC,Sun 1:00 pm @ NYG
Apr 6,Tua Tagovailoa,32675,Atl,QB,,FA,to NFC,Thu 8:15 pm @ GB
Apr 6,Kyle McCord,41971,Mia,QB,,FA,to NFC,Sun 1:00 pm vs KC
Apr 6,Braden Fiske,40930,LAR,"DL,DE",,FA,to NFC,Sun 8:20 pm @ Den
Apr 6,Quan Martin,40087,Was,"DB,S,CB",,FA,to NFC,Sun 1:00 pm vs Sea
Apr 6,Jordan Turner,42528,Den,LB,,FA,to AFC,Sun 8:20 pm vs LAR
Apr 6,Kye Robichaux,42245,Det,RB,NA,FA,to NFC,Sun 1:00 pm vs NYJ
Apr 6,Sai'vion Jones,41868,Den,DE,,FA,to AFC,Sun 8:20 pm vs LAR
Apr 6,David Montgomery,31905,Hou,RB,,Maybe Mitchell,to AFC,Sun 1:00 pm @ Ind
Apr 6,Kaleb Johnson,41881,GB,RB,,FA,to AFC,Thu 8:15 pm vs Atl
Apr 6,Jordan Elliott,32758,Ten,DT,,FA,to AFC,Sun 1:00 pm @ NYG
Apr 6,Jalen Graham,40265,SF,LB,NA,FA,to NFC,Sun 4:05 pm vs Ari
Apr 6,Will Levis,40068,NYJ,QB,NA,FA,to AFC,Sun 1:00 pm @ Det
Apr 6,Marlon Humphrey,30129,Bal,CB,,FA,to AFC,Sun 4:25 pm @ Dal
Apr 6,Tom Kennedy,32561,Det,WR,,FA,to NFC,Sun 1:00 pm vs NYJ
Apr 6,T.J. Sanders,41826,Buf,DT,Q,FA,to AFC,Sun 1:00 pm vs LAC
Apr 6,Jack Westover,41352,Was,"RB,TE",NA,FA,to AFC,Sun 1:00 pm vs Sea
Apr 6,Andre Jones Jr.,40247,Mia,"LB,DE",,FA,to AFC,Sun 1:00 pm vs KC
Apr 6,John Rhys Plumlee,41135,Pit,WR,NA,FA,to AFC,Sun 1:00 pm vs Cin
Apr 6,Trevor Etienne,41913,Car,RB,IR-R,FA,to NFC,Sun 1:00 pm @ Cle
Apr 6,Casey Washington,41074,Car,WR,NA,FA,to NFC,Sun 1:00 pm @ Cle
Apr 6,Teddye Buchanan,41908,Bal,LB,,FA,to AFC,Sun 4:25 pm @ Dal
Apr 6,Lucas Havrisik,34720,GB,K,NA,FA,to NFC,Thu 8:15 pm vs Atl
Apr 6,Malcolm Koonce,33467,LV,DE,,FA,to AFC,Sun 4:25 pm @ NO
Apr 6,Dawson Knox,31928,Buf,TE,,FA,to AFC,Sun 1:00 pm vs LAC
Apr 6,Efton Chism III,42296,NE,WR,,FA,to AFC,Sun 1:00 pm @ Jax
Apr 6,Darrell Luter Jr.,40186,LV,CB,,FA,to NFC,Sun 4:25 pm @ NO
Apr 6,Myles Adams,33131,Det,"DT,DE",NA,FA,to NFC,Sun 1:00 pm vs NYJ
Apr 6,Rylie Mills,41928,Sea,"DT,DE",,FA,to NFC,Sun 1:00 pm @ Was
Apr 6,Carson Bruener,42022,Pit,LB,,FA,to AFC,Sun 1:00 pm vs Cin
Apr 6,Cade Stover,40987,Hou,TE,,FA,to AFC,Sun 1:00 pm @ Ind
Apr 6,Moro Ojomo,40246,Phi,"DT,DE",,FA,to NFC,Mon 8:15 pm @ Chi
Apr 6,Clark Phillips III,40146,Chi,CB,,FA,to NFC,Mon 8:15 pm vs Phi
