Player,Player ID,Team,Positions,Status,Injury Type,New Player Note,Game
Dee Eskridge,33444,Mia,WR,NA,,N,Sun 1:00 pm vs KC
Miles Kitselman,43082,Det,TE,NA,Leg,N,Sun 1:00 pm vs NYJ
Terrace Marshall Jr.,33447,Mia,WR,NA,,N,Sun 1:00 pm vs KC
Laith Marjan,43136,Pit,K,NA,,N,Sun 1:00 pm vs Cin
Cameron Ross,43069,Den,WR,NA,,N,Sun 8:20 pm vs LAR
Kyle Trask,33452,Car,QB,NA,,N,Sun 1:00 pm @ Cle
Brandon Smith,33710,Pit,WR,NA,,N,Sun 1:00 pm vs Cin
Dan Villari,43138,LAR,TE,NA,,N,Sun 8:20 pm @ Den
Tarik Black,33797,Det,WR,NA,,N,Sun 1:00 pm vs NYJ
Shane Zylstra,33803,NE,TE,NA,Undisclosed,N,Sun 1:00 pm @ Jax
Matt Lauter,43130,Min,TE,NA,,N,Sun 4:05 pm @ TB
Jaret Patterson,33706,Min,RB,NA,,Y,Sun 4:05 pm @ TB
Dean Connors,43140,LAR,RB,NA,,N,Sun 8:20 pm @ Den
Tyler Lockett,28457,LV,WR,NA,,N,Sun 4:25 pm @ NO
Mark Gronowski,43146,Hou,QB,NA,,N,Sun 1:00 pm @ Ind
DJ Turner,33813,LV,WR,NA,Undisclosed,N,Sun 4:25 pm @ NO
Donaven McCulley,43147,Mia,WR,NA,,N,Sun 1:00 pm vs KC
E.J. Williams Jr.,43129,Car,WR,NA,,Y,Sun 1:00 pm @ Cle
Kole Wilson,43066,Cle,WR,NA,,N,Sun 1:00 pm vs Car
Shane Buechele,33879,Buf,QB,NA,,N,Sun 1:00 pm vs LAC
Jacob Clark,43128,LV,QB,NA,,N,Sun 4:25 pm @ NO
Chase Roberts,43126,LV,WR,NA,Undisclosed,N,Sun 4:25 pm @ NO
Anthony Hankerson,43149,Sea,RB,NA,,N,Sun 1:00 pm @ Was
Luke Drzewiecki,43056,Bal,K,NA,,N,Sun 4:25 pm @ Dal
Joshua Pitsenberger,43098,Hou,RB,NA,,N,Sun 1:00 pm @ Ind
Caullin Lacy,43165,NYJ,WR,NA,Undisclosed,N,Sun 1:00 pm @ Det
Sean McKeon,33101,Ind,TE,NA,Undisclosed,N,Sun 1:00 pm vs Hou
Cornell Powell,33569,Pit,WR,NA,,N,Sun 1:00 pm vs Cin
Lance Mason,43012,Pit,TE,NA,,N,Sun 1:00 pm vs Cin
Lawrence Cager,33329,Was,TE,NA,,N,Sun 1:00 pm vs Sea
Desmond Ridder,34030,GB,QB,NA,,N,Thu 8:15 pm vs Atl
Salvon Ahmed,33265,Chi,RB,NA,,N,Mon 8:15 pm vs Phi
Patrick Taylor Jr.,33235,SF,RB,NA,Undisclosed,N,Sun 4:05 pm vs Ari
Jake Retzlaff,43004,Sea,QB,NA,,N,Sun 1:00 pm @ Was
