Player,Player ID,Team,Positions,Status,Injury Type,New Player Note,Game
Anthony Gould,41046,Ind,WR,NA,,N,Sun 1:00 pm vs Hou
Bub Means,41045,Cle,WR,NA,,N,Sun 1:00 pm vs Car
Ainias Smith,41030,Car,WR,NA,Undisclosed,N,Sun 1:00 pm @ Cle
Audric Estime,41019,NO,RB,NA,Thigh,Y,Sun 4:25 pm vs LV
Jamari Thrash,41016,Cle,WR,NA,Undisclosed,N,Sun 1:00 pm vs Car
Marcedes Lewis,7777,Den,TE,NA,,N,Sun 8:20 pm vs LAR
DeAndre Hopkins,26650,Bal,WR,NA,,N,Sun 4:25 pm @ Dal
Ja'Lynn Polk,40914,NO,WR,NA,Undisclosed,N,Sun 4:25 pm vs LV
Zach Ertz,26658,Phi,TE,NA,,N,Mon 8:15 pm @ Chi
Brandon McManus,27120,GB,K,NA,,N,Thu 8:15 pm vs Atl
Dante Miller,40874,NYG,RB,NA,Groin,N,Sun 1:00 pm vs Ten
Charlie Smyth,40873,NO,K,NA,,N,Sun 4:25 pm vs LV
Lucky Jackson,40791,Det,WR,NA,,N,Sun 1:00 pm vs NYJ
Dylan Drummond,40737,Atl,WR,NA,,N,Thu 8:15 pm @ GB
Elijah Cooks,40374,Car,WR,NA,,N,Sun 1:00 pm @ Cle
