Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Kendre Miller,40108,NO,RB,,Sun 4:25 pm vs LV,FA,1,8,0.25,271,455,1%,-,-,-,0.4,1.4,0.0,-,0.0,0.1,0.0,-,-,-
Julius Chestnut,34451,Ten,RB,,Sun 1:00 pm @ NYG,FA,1,9,0.19,"2,862",461,0%,-,-,-,0.2,1.0,0.0,0.1,0.0,0.3,0.0,-,0.0,0.0
Patrick Ricard,30592,NYG,RB,,Sun 1:00 pm vs Ten,FA,1,8,0.11,"2,796",474,0%,-,-,-,0.0,0.1,0.0,0.1,0.1,0.5,0.0,-,-,0.0
Kene Nwangwu,33507,NYJ,RB,Q,Sun 1:00 pm @ Det,FA,1,13,0.10,"2,755",475,0%,-,-,-,0.2,0.6,0.0,0.0,0.0,0.1,0.0,-,-,0.0
British Brooks,41480,Hou,RB,,Sun 1:00 pm @ Ind,FA,1,8,0.09,"2,785",477,0%,-,-,-,0.1,0.4,0.0,0.0,0.0,0.2,0.0,-,-,-
Max Bredeson,42799,Min,RB,,Sun 4:05 pm @ TB,FA,1,6,0.09,"2,597",479,0%,-,-,-,0.0,0.0,-,0.1,0.1,0.4,0.0,-,-,-
Riley Nowakowski,42803,Pit,"RB,TE",,Sun 1:00 pm vs Cin,FA,1,9,0.09,"2,635",481,0%,-,-,-,-,-,-,0.1,0.0,0.4,0.0,-,-,-
Amar Johnson,42240,LAC,RB,NA,Sun 1:00 pm @ Buf,FA,-,7,0.00,"2,551",903,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kye Robichaux,42245,Det,RB,NA,Sun 1:00 pm vs NYJ,FA,-,6,0.00,"2,552",905,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Le'Veon Moss,42890,Mia,RB,NA,Sun 1:00 pm vs KC,FA,-,6,0.00,"2,548","1,124",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
J'Mari Taylor,42882,Jax,RB,NA,Sun 1:00 pm vs NE,FA,-,7,0.00,"2,609","1,120",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Lan Larison,42284,NE,RB,NA,Sun 1:00 pm @ Jax,FA,-,11,0.00,"2,651",930,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Anthony Tyus III,42235,Car,RB,NA,Sun 1:00 pm @ Cle,FA,-,5,0.00,"2,537",899,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Donovan Edwards,42226,Mia,RB,NA,Sun 1:00 pm vs KC,FA,-,6,0.00,"2,587",895,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Cash Jones,42881,Atl,RB,NA,Thu 8:15 pm @ GB,FA,-,11,0.00,"2,547","1,119",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Ja'Quinden Jackson,42214,Phi,RB,NA,Mon 8:15 pm @ Chi,FA,-,10,0.00,"2,570",886,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jam Miller,42867,NE,RB,NA,Sun 1:00 pm @ Jax,FA,-,11,0.00,"2,610","1,116",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Tre Stewart,42271,Ari,RB,NA,Sun 4:05 pm @ SF,FA,-,14,0.00,"2,581",918,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Michael Burton,28556,Cle,RB,,Sun 1:00 pm vs Car,FA,-,11,0.00,"2,653","1,125",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Dare Ogunbowale,30860,LV,RB,NA,Sun 4:25 pm @ NO,FA,-,13,0.00,"2,751",563,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Raheem Mostert,28654,LV,RB,NA,Sun 4:25 pm @ NO,FA,-,13,0.00,"2,717","1,185",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Brock Lampe,42293,Buf,RB,NA,Sun 1:00 pm vs LAC,FA,-,7,0.00,"2,556",938,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Lucas Scott,42531,Bal,RB,NA,Sun 4:25 pm @ Dal,FA,-,13,0.00,"2,532","1,026",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jacardia Wright,42357,Sea,RB,NA,Sun 1:00 pm @ Was,FA,-,11,0.00,"2,545",964,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Deion Hankins,42403,Chi,RB,NA,Mon 8:15 pm vs Phi,FA,-,10,0.00,"2,554",980,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Joe Mixon,30161,Hou,RB,O,Sun 1:00 pm @ Ind,FA,-,8,0.00,"2,063",998,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
