Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Liam Clifford,43465,LAC,WR,NA,Sun 1:00 pm @ Buf,FA,-,7,0.00,"2,326",702,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Malick Meiga,43460,Sea,WR,NA,Sun 1:00 pm @ Was,FA,-,11,0.00,"2,469",699,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyre Duplessis,43458,Den,WR,NA,Sun 8:20 pm vs LAR,FA,-,10,0.00,"2,356",697,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Brandon Hayes,43451,Phi,WR,NA,Mon 8:15 pm @ Chi,FA,-,10,0.00,"2,337",695,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Terrill Davis,43442,Min,WR,NA,Sun 4:05 pm @ TB,FA,-,6,0.00,"2,366",689,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Rashad Rochelle,43440,Sea,WR,NA,Sun 1:00 pm @ Was,FA,-,11,0.00,"2,405",687,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jimmy Kibble,43368,NE,WR,NA,Sun 1:00 pm @ Jax,FA,-,11,0.00,"2,354",653,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Trayvon Rudolph,43439,Min,WR,NA,Sun 4:05 pm @ TB,FA,-,6,0.00,"2,297",686,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Brock Rechsteiner,43435,NO,WR,SUSP,Sun 4:25 pm vs LV,FA,-,8,0.00,"2,450",683,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyron Hudson,43432,Chi,WR,NA,Mon 8:15 pm vs Phi,FA,-,10,0.00,"2,320",681,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Dean Patterson IV,43423,TB,WR,NA,Sun 4:05 pm vs Min,FA,-,10,0.00,"2,455",678,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Tommy Thomas,43408,Den,WR,NA,Sun 8:20 pm vs LAR,FA,-,10,0.00,"2,322",672,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
