Player,Player ID,Team,Positions,Game Status,Injury,Updated,New Player Note,Game
Quinn Ewers,42037,Jax,QB,,,Sep 20 11:51 PM,N,Sun 1:00 pm vs NE
Kylen Granson,33515,Ten,TE,,,Sep 20 11:51 PM,N,Sun 1:00 pm @ NYG
CJ Williams,42825,Jax,WR,,,Sep 20 11:51 PM,N,Sun 1:00 pm vs NE
Tanner McKee,40220,Phi,QB,,,Sep 20 11:51 PM,N,Mon 8:15 pm @ Chi
Taylen Green,42804,Cle,QB,,,Sep 20 11:46 PM,N,Sun 1:00 pm vs Car
Blake Grupe,40296,NYJ,K,,,Sep 20 11:41 PM,N,Sun 1:00 pm @ Det
Behren Morton,42856,NE,QB,,,Sep 20 11:41 PM,N,Sun 1:00 pm @ Jax
Tanner Arkin,43152,NE,TE,,,Sep 20 11:41 PM,N,Sun 1:00 pm @ Jax
Will Howard,41989,Pit,QB,,,Sep 20 11:36 PM,N,Sun 1:00 pm vs Cin
Drew Allar,42698,Pit,QB,,,Sep 20 11:36 PM,N,Sun 1:00 pm vs Cin
Brevin Jordan,33535,Hou,TE,,,Sep 20 11:31 PM,N,Sun 1:00 pm @ Ind
Kyler Murray,31833,Min,QB,,,Sep 20 11:31 PM,N,Sun 4:05 pm @ TB
Case Keenum,26483,Chi,QB,,,Sep 20 11:26 PM,Y,Mon 8:15 pm vs Phi
Josh Johnson,8937,Cin,QB,,,Sep 20 11:26 PM,N,Sun 1:00 pm @ Pit
Ke'Shawn Williams,42278,Cin,WR,,,Sep 20 11:26 PM,N,Sun 1:00 pm @ Pit
Joe Fagnano,43003,Bal,QB,,,Sep 20 11:26 PM,N,Sun 4:25 pm @ Dal
Kendre Miller,40108,NO,RB,,,Sep 20 11:21 PM,N,Sun 4:25 pm vs LV
Zach Wilson,33390,NO,QB,,,Sep 20 11:21 PM,N,Sun 4:25 pm vs LV
Ja'Tavion Sanders,40995,Car,TE,,,Sep 20 11:11 PM,N,Sun 1:00 pm @ Cle
Haynes King,42904,Car,QB,,,Sep 20 11:11 PM,N,Sun 1:00 pm @ Cle
Skyler Bell,42747,Buf,WR,,,Sep 20 11:11 PM,N,Sun 1:00 pm vs LAC
Kaelon Black,42712,SF,RB,,,Sep 20 12:11 AM,N,Sun 4:05 pm vs Ari
Eddy Pineiro,31482,SF,K,,,Sep 20 12:11 AM,N,Sun 4:05 pm vs Ari
Ladd McConkey,40908,LAC,WR,,,Sep 19 11:41 PM,Y,Sun 1:00 pm @ Buf
Chris Olave,33966,NO,WR,,,Sep 19 8:41 PM,N,Sun 4:25 pm vs LV
Jalen McMillan,40954,TB,WR,,,Sep 19 8:41 PM,Y,Sun 4:05 pm vs Min
Joe Burrow,32671,Cin,QB,,,Sep 19 8:36 PM,N,Sun 1:00 pm @ Pit
Kyle Juszczyk,26753,SF,RB,,,Sep 18 3:31 AM,Y,Sun 4:05 pm vs Ari
Seydou Traore,42790,Mia,TE,,,Sep 18 3:06 AM,N,Sun 1:00 pm vs KC
George Kittle,30259,SF,TE,,,Sep 18 2:56 AM,N,Sun 4:05 pm vs Ari
Brian Thomas Jr.,40883,Jax,WR,,,Sep 18 2:16 AM,N,Sun 1:00 pm vs NE
Samaje Perine,30227,Cin,RB,,,Sep 18 1:21 AM,N,Sun 1:00 pm @ Pit
Jaylin Lane,41920,Was,WR,,,Sep 18 1:21 AM,Y,Sun 1:00 pm vs Sea
D'Andre Swift,32705,Chi,RB,,,Sep 18 12:16 AM,N,Mon 8:15 pm vs Phi
Oscar Delp,42695,NO,TE,,,Sep 17 11:26 PM,Y,Sun 4:25 pm vs LV
Juwan Johnson,33113,NO,TE,,,Sep 17 11:26 PM,N,Sun 4:25 pm vs LV
Tyrone Tracy Jr.,41048,NYG,RB,,,Sep 17 2:36 AM,N,Sun 1:00 pm vs Ten
Anthony Richardson Sr.,40040,Ind,QB,,,Sep 17 12:51 AM,N,Sun 1:00 pm vs Hou
Tory Horton,41952,Sea,WR,,,Sep 16 5:26 AM,Y,Sun 1:00 pm @ Was
Derius Davis,40133,LAC,WR,,,Sep 16 3:31 AM,N,Sun 1:00 pm @ Buf
Devontez Walker,40991,Bal,WR,,,Sep 16 2:46 AM,N,Sun 4:25 pm @ Dal
Sean Tucker,40742,TB,RB,,,Sep 16 2:31 AM,N,Sun 4:05 pm vs Min
Josh Whyle,40182,GB,TE,,,Sep 16 2:16 AM,N,Thu 8:15 pm vs Atl
Alvin Kamara,30180,NO,RB,,,Sep 16 1:56 AM,N,Sun 4:25 pm vs LV
TreVeyon Henderson,41823,NE,RB,,,Sep 16 1:31 AM,N,Sun 1:00 pm @ Jax
JuJu Smith-Schuster,30175,NYG,WR,,,Sep 15 6:26 AM,N,Sun 1:00 pm vs Ten
Jerome Ford,34112,Min,RB,,,Sep 15 4:31 AM,N,Sun 4:05 pm @ TB
Tyler Badie,34152,Den,RB,,,Sep 14 8:41 PM,Y,Sun 8:20 pm vs LAR
Davis Allen,40164,LAR,TE,,,Sep 13 9:36 PM,Y,Sun 8:20 pm @ Den
Jalen Milroe,41882,Sea,QB,,,Sep 13 8:26 PM,N,Sun 1:00 pm @ Was
Jordan James,41933,SF,RB,,,Sep 13 8:26 PM,N,Sun 4:05 pm vs Ari
Nick Kallerup,42465,Sea,TE,,,Sep 13 8:26 PM,N,Sun 1:00 pm @ Was
Nicholas Singleton,42763,Ten,RB,,,Sep 13 8:26 PM,N,Sun 1:00 pm @ NYG
Treylon Burks,33973,Was,WR,,,Sep 13 8:26 PM,Y,Sun 1:00 pm vs Sea
Demond Claiborne,42820,Min,RB,,,Sep 13 8:21 PM,N,Sun 4:05 pm @ TB
Dalen Cambre,42200,NYG,WR,,,Sep 13 8:21 PM,N,Sun 1:00 pm vs Ten
Efton Chism III,42296,NE,WR,,,Sep 13 8:21 PM,N,Sun 1:00 pm @ Jax
J.J. McCarthy,40905,Min,QB,,,Sep 13 8:21 PM,N,Sun 4:05 pm @ TB
Max Klare,42683,LAR,TE,,,Sep 13 8:21 PM,N,Sun 8:20 pm @ Den
Najee Harris,33412,NYG,RB,,,Sep 13 8:21 PM,Y,Sun 1:00 pm vs Ten
Tutu Atwell,33445,LAR,WR,,,Sep 13 8:21 PM,Y,Sun 8:20 pm @ Den
Israel Abanikanda,40165,Dal,RB,,,Sep 13 8:16 PM,N,Sun 4:25 pm vs Bal
J. Michael Sturdivant,43085,GB,WR,,,Sep 13 8:16 PM,N,Thu 8:15 pm vs Atl
Jack Endries,42843,Cin,TE,,,Sep 13 8:16 PM,N,Sun 1:00 pm @ Pit
John Metchie III,33999,Car,WR,,,Sep 13 8:11 PM,N,Sun 1:00 pm @ Cle
Elijah Sarratt,42737,Bal,WR,,,Sep 13 8:11 PM,N,Sun 4:25 pm @ Dal
Miller Moss,42902,Chi,QB,,,Sep 13 8:11 PM,N,Mon 8:15 pm vs Phi
Jeremiyah Love,42625,Ari,RB,,,Sep 13 12:06 AM,N,Sun 4:05 pm @ SF
Rome Odunze,40901,Chi,WR,,,Sep 12 8:36 PM,N,Mon 8:15 pm vs Phi
Cooper Rush,30788,Atl,QB,,,Sep 12 6:06 PM,N,Thu 8:15 pm @ GB
Keaton Mitchell,40641,LAC,RB,,,Sep 11 2:51 AM,N,Sun 1:00 pm @ Buf
Will Kacmarek,42709,Mia,TE,,,Sep 11 1:11 AM,N,Sun 1:00 pm vs KC
Zachariah Branch,42701,Atl,WR,,,Sep 10 11:06 PM,N,Thu 8:15 pm @ GB
Jacory Croskey-Merritt,42010,Was,RB,,,Sep 10 10:21 PM,N,Sun 1:00 pm vs Sea
Patrick Mahomes,30123,KC,QB,,,Sep 10 2:06 AM,N,Sun 1:00 pm @ Mia
Drew Ogletree,34148,Ind,TE,,,Sep 10 1:06 AM,N,Sun 1:00 pm vs Hou
Ollie Gordon II,41969,Mia,RB,,,Sep 9 6:06 AM,Y,Sun 1:00 pm vs KC
British Brooks,41480,Hou,RB,,,Sep 9 5:06 AM,N,Sun 1:00 pm @ Ind
Joshua Pitsenberger,43098,Hou,RB,,,Sep 9 5:06 AM,N,Sun 1:00 pm @ Ind
Cameron Dicker,34344,LAC,K,,,Sep 9 4:26 AM,N,Sun 1:00 pm @ Buf
John Bates,33512,Was,TE,,,Sep 9 3:21 AM,Y,Sun 1:00 pm vs Sea
Ben Sinnott,40931,Was,TE,,,Sep 9 3:21 AM,N,Sun 1:00 pm vs Sea
Marcus Mariota,28390,Was,QB,,,Sep 9 3:21 AM,N,Sun 1:00 pm vs Sea
Ashton Jeanty,41791,LV,RB,,,Sep 9 3:06 AM,N,Sun 4:25 pm @ NO
Tre' Harris,41840,LAC,WR,,,Sep 9 2:56 AM,N,Sun 1:00 pm @ Buf
Jaylin Noel,41885,Hou,WR,,,Sep 9 2:56 AM,Y,Sun 1:00 pm @ Ind
Rachaad White,34047,Was,RB,,,Sep 9 2:46 AM,N,Sun 1:00 pm vs Sea
Tucker Kraft,40102,GB,TE,,,Sep 9 2:41 AM,N,Thu 8:15 pm vs Atl
Khalil Shakir,34104,Buf,WR,,,Sep 9 2:36 AM,N,Sun 1:00 pm vs LAC
Emeka Egbuka,41804,TB,WR,,,Sep 9 2:06 AM,N,Sun 4:05 pm vs Min
Tee Higgins,32703,Cin,WR,,,Sep 9 1:56 AM,N,Sun 1:00 pm @ Pit
Ja'Marr Chase,33393,Cin,WR,,,Sep 9 1:56 AM,N,Sun 1:00 pm @ Pit
Josh Downs,40126,Ind,WR,,,Sep 9 1:41 AM,N,Sun 1:00 pm vs Hou
Ben Skowronek,33637,Pit,WR,,,Sep 9 1:41 AM,N,Sun 1:00 pm vs Cin
DK Metcalf,31896,Pit,WR,,,Sep 9 1:36 AM,N,Sun 1:00 pm vs Cin
Carnell Tate,42626,Ten,WR,,,Sep 9 1:31 AM,N,Sun 1:00 pm @ NYG
Mitchell Trubisky,30115,Ten,QB,,,Sep 9 1:31 AM,N,Sun 1:00 pm @ NYG
Wan'Dale Robinson,33998,Ten,WR,,,Sep 9 1:31 AM,N,Sun 1:00 pm @ NYG
Tyler Warren,41799,Ind,TE,,,Sep 9 1:26 AM,N,Sun 1:00 pm vs Hou
Theo Johnson,41003,NYG,TE,,,Sep 9 1:26 AM,Y,Sun 1:00 pm vs Ten
Bhayshul Tuten,41900,Jax,RB,,,Sep 9 1:26 AM,N,Sun 1:00 pm vs NE
Breece Hall,33991,NYJ,RB,,,Sep 9 1:16 AM,N,Sun 1:00 pm @ Det
Isaiah Davis,41031,NYJ,RB,,,Sep 9 1:16 AM,Y,Sun 1:00 pm @ Det
Luther Burden III,41824,Chi,WR,,,Sep 9 1:16 AM,N,Mon 8:15 pm vs Phi
Kenyon Sadiq,42638,NYJ,TE,,,Sep 9 1:16 AM,N,Sun 1:00 pm @ Det
Sam LaPorta,40064,Det,TE,,,Sep 9 1:06 AM,N,Sun 1:00 pm vs NYJ
Xavier Legette,40890,Car,WR,,,Sep 9 12:46 AM,Y,Sun 1:00 pm @ Cle
Chuba Hubbard,33514,Car,RB,,,Sep 9 12:41 AM,N,Sun 1:00 pm @ Cle
Jacob Cowing,40996,SF,WR,,,Sep 8 5:06 AM,N,Sun 4:05 pm vs Ari
Jack Stoll,33891,SF,TE,,,Sep 8 3:36 AM,N,Sun 4:05 pm vs Ari
Christian McCaffrey,30121,SF,RB,,,Sep 8 3:21 AM,N,Sun 4:05 pm vs Ari
Isaiah Bond,42598,Cle,WR,,,Sep 6 11:26 PM,N,Sun 1:00 pm vs Car
Emanuel Wilson,40707,Sea,RB,,,Sep 6 4:56 AM,N,Sun 1:00 pm @ Was
Brayden Willis,40261,SF,TE,,,Sep 5 2:26 AM,N,Sun 4:05 pm vs Ari
Brock Lampe,42293,Buf,RB,,,Sep 3 3:16 AM,N,Sun 1:00 pm vs LAC
Kalel Mullings,41986,Ten,RB,,,Sep 2 9:06 AM,N,Sun 1:00 pm @ NYG
Cedric Tillman,40093,NO,WR,,,Sep 2 6:21 AM,N,Sun 4:25 pm vs LV
Kenneth Walker III,33996,KC,RB,,,Sep 1 10:06 PM,N,Sun 1:00 pm @ Mia
Brandon Smith,33710,Pit,WR,,,Aug 31 2:26 AM,N,Sun 1:00 pm vs Cin
Cam Camper,42212,NYJ,WR,,,Aug 30 9:46 PM,N,Sun 1:00 pm @ Det
Jawhar Jordan,41064,Hou,RB,,,Aug 30 8:56 PM,N,Sun 1:00 pm @ Ind
Ihmir Smith-Marsette,33545,Car,WR,,,Aug 30 8:56 PM,Y,Sun 1:00 pm @ Cle
Dayton Wade,41262,Bal,WR,,,Aug 30 7:16 PM,N,Sun 4:25 pm @ Dal
Jalin Hyatt,40128,NYG,WR,,,Aug 30 6:21 AM,N,Sun 1:00 pm vs Ten
Xavier Worthy,40877,KC,WR,,,Aug 30 4:49 AM,N,Sun 1:00 pm @ Mia
Quentin Johnston,40051,LAC,WR,,,Aug 30 4:49 AM,N,Sun 1:00 pm @ Buf
Braxton Berrios,31180,NYG,WR,,,Aug 30 4:49 AM,Y,Sun 1:00 pm vs Ten
Lan Larison,42284,NE,RB,,,Aug 30 4:49 AM,N,Sun 1:00 pm @ Jax
Phil Mafah,42018,NYG,RB,,,Aug 30 4:49 AM,N,Sun 1:00 pm vs Ten
Jabari Small,41661,Det,RB,,,Aug 30 4:49 AM,N,Sun 1:00 pm vs NYJ
Britain Covey,34378,Phi,WR,,,Aug 30 4:49 AM,N,Mon 8:15 pm @ Chi
Carsen Ryan,42870,Cle,TE,,,Aug 30 4:49 AM,N,Sun 1:00 pm vs Car
Elijah Higgins,40226,Ari,TE,,,Aug 30 4:49 AM,N,Sun 4:05 pm @ SF
Noah Whittington,43197,Hou,RB,,,Aug 30 4:49 AM,N,Sun 1:00 pm @ Ind
Anthony Gould,41046,Ind,WR,,,Aug 30 4:49 AM,N,Sun 1:00 pm vs Hou
Sione Vaki,41006,Det,RB,,,Aug 30 4:49 AM,N,Sun 1:00 pm vs NYJ
Michael Trigg,42887,Dal,TE,,,Aug 30 4:49 AM,N,Sun 4:25 pm vs Bal
Tez Johnson,42030,TB,WR,,,Aug 30 4:49 AM,Y,Sun 4:05 pm vs Min
Bub Means,41045,Cle,WR,,,Aug 25 12:36 AM,N,Sun 1:00 pm vs Car
Quinshon Judkins,41821,Cle,RB,,,Aug 24 11:26 PM,N,Sun 1:00 pm vs Car
Cade Otton,34062,TB,TE,,,Aug 24 8:46 PM,N,Sun 4:05 pm vs Min
Parker Washington,40234,Jax,WR,,,Aug 24 7:31 PM,N,Sun 1:00 pm vs NE
Rasheen Ali,41033,Bal,RB,,,Aug 24 3:11 AM,N,Sun 4:25 pm @ Dal
Makai Lemon,42642,Phi,WR,,,Aug 23 9:51 PM,N,Mon 8:15 pm @ Chi
DeVonta Smith,33398,Phi,WR,,,Aug 23 9:51 PM,N,Mon 8:15 pm @ Chi
Dameon Pierce,34063,Phi,RB,,,Aug 23 9:26 PM,N,Mon 8:15 pm @ Chi
Jaydon Blue,41935,Phi,RB,,,Aug 22 9:11 AM,N,Mon 8:15 pm @ Chi
Kevin Coleman Jr.,42768,Mia,WR,,,Aug 22 3:56 AM,Y,Sun 1:00 pm vs KC
Max Brosmer,42075,Min,QB,,,Aug 22 3:11 AM,N,Sun 4:05 pm @ TB
Trayveon Williams,32014,Det,RB,,,Aug 22 12:51 AM,N,Sun 1:00 pm vs NYJ
Jacob Saylors,40474,Det,RB,,,Aug 22 12:06 AM,N,Sun 1:00 pm vs NYJ
Brenden Rice,41098,LV,WR,,,Aug 19 2:56 AM,N,Sun 4:25 pm @ NO
Jameson Williams,33967,Det,WR,,,Aug 19 2:06 AM,N,Sun 1:00 pm vs NYJ
Bryce Lance,42758,NO,WR,,,Aug 19 1:56 AM,Y,Sun 4:25 pm vs LV
Jaylen Waddle,33394,Den,WR,,,Aug 18 9:56 PM,N,Sun 8:20 pm vs LAR
Tank Bigsby,40095,Phi,RB,,,Aug 18 7:51 PM,N,Mon 8:15 pm @ Chi
Tyquan Thornton,34005,KC,WR,,,Aug 18 7:41 PM,N,Sun 1:00 pm @ Mia
Ronnie Bell,40279,LV,WR,,,Aug 18 4:31 AM,N,Sun 4:25 pm @ NO
Zavion Thomas,42711,Chi,WR,,,Aug 17 10:51 PM,N,Mon 8:15 pm vs Phi
Nick Mullens,30563,Jax,QB,,,Aug 17 7:21 PM,N,Sun 1:00 pm vs NE
Geno Smith,26662,NYJ,QB,,,Aug 17 6:41 PM,N,Sun 1:00 pm @ Det
Garrett Wilson,33965,NYJ,WR,,,Aug 17 6:06 PM,N,Sun 1:00 pm @ Det
Khalil Dinkins,42972,SF,TE,,,Aug 17 5:36 AM,N,Sun 4:05 pm vs Ari
Blake Watson,41388,Ten,RB,,,Aug 17 1:11 AM,N,Sun 1:00 pm @ NYG
Craig Reynolds,32596,Was,RB,,,Aug 16 7:06 PM,N,Sun 1:00 pm vs Sea
Jake Browning,32138,TB,QB,,,Aug 16 6:16 PM,N,Sun 4:05 pm vs Min
Michael Wiley,41234,TB,RB,,,Aug 16 3:16 AM,N,Sun 4:05 pm vs Min
Gavin Bartholomew,41994,Min,TE,,,Aug 15 10:41 PM,N,Sun 4:05 pm @ TB
Kaden Wetjen,42743,Pit,WR,,,Aug 15 8:26 PM,N,Sun 1:00 pm vs Cin
M. Valdes-Scantling,31144,LAC,WR,,,Aug 15 8:26 AM,N,Sun 1:00 pm @ Buf
Jordan Addison,40042,Min,WR,,,Aug 15 7:31 AM,N,Sun 4:05 pm @ TB
Josh Reynolds,30230,NYJ,WR,,,Aug 15 1:21 AM,N,Sun 1:00 pm @ Det
Jaleel McLaughlin,40696,Cle,RB,,,Aug 14 5:36 AM,Y,Sun 1:00 pm vs Car
Laquon Treadwell,29257,Ind,WR,,,Aug 13 9:41 PM,Y,Sun 1:00 pm vs Hou
Jahmyr Gibbs,40059,Det,RB,,,Aug 13 6:31 PM,N,Sun 1:00 pm vs NYJ
Darren Waller,28592,Car,TE,,,Aug 12 5:36 AM,N,Sun 1:00 pm @ Cle
Trevor Siemian,28638,Ten,QB,,,Aug 12 2:51 AM,N,Sun 1:00 pm @ NYG
Matthew Golden,41808,GB,WR,,,Aug 10 9:06 PM,N,Thu 8:15 pm vs Atl
Greg Dulcich,34036,Mia,TE,,,Aug 10 12:56 AM,N,Sun 1:00 pm vs KC
Nate Adkins,40702,Den,TE,,,Aug 9 8:56 PM,Y,Sun 8:20 pm vs LAR
Chris Brooks,40625,GB,RB,,,Aug 8 9:26 PM,Y,Thu 8:15 pm vs Atl
Elic Ayomanor,41904,Ten,WR,,,Aug 7 4:36 AM,N,Sun 1:00 pm @ NYG
Cyrus Allen,42773,KC,WR,,,Aug 6 7:11 PM,Y,Sun 1:00 pm @ Mia
Romeo Doubs,34088,NE,WR,,,Aug 6 6:36 PM,N,Sun 1:00 pm @ Jax
Bryce Pierre,42274,Car,TE,,,Aug 6 3:51 AM,N,Sun 1:00 pm @ Cle
Michael Mayer,40065,LV,TE,,,Aug 5 9:56 PM,N,Sun 4:25 pm @ NO
Josh Kattus,43058,Cin,TE,,,Aug 5 7:06 PM,N,Sun 1:00 pm @ Pit
Jermaine Terry,42446,Cle,TE,,,Aug 5 3:26 AM,N,Sun 1:00 pm vs Car
Tyler Conklin,31127,Det,TE,,,Aug 5 3:21 AM,N,Sun 1:00 pm vs NYJ
Cam Grandy,41353,Min,TE,,,Aug 5 2:46 AM,N,Sun 4:05 pm @ TB
KC Concepcion Jr.,42646,Cle,WR,,,Aug 5 12:56 AM,N,Sun 1:00 pm vs Car
Ben VanSumeren,40518,KC,RB,,,Aug 4 9:51 PM,N,Sun 1:00 pm @ Mia
CJ Dippre,42291,TB,TE,,,Aug 4 8:21 PM,N,Sun 4:05 pm vs Min
Zach Ertz,26658,Phi,TE,,,Aug 4 6:56 PM,N,Mon 8:15 pm @ Chi
Chris Rodriguez Jr.,40231,Jax,RB,,,Aug 3 2:46 AM,N,Sun 1:00 pm vs NE
Joseph Manjack,43076,Den,WR,,,Aug 3 12:06 AM,N,Sun 8:20 pm vs LAR
Josh Oliver,31901,Min,TE,,,Aug 2 5:46 PM,Y,Sun 4:05 pm @ TB
Donald Parham Jr.,32456,Pit,TE,,,Aug 1 1:51 AM,N,Sun 1:00 pm vs Cin
Cody Hardy,43161,NYJ,TE,,,Jul 31 2:41 AM,Y,Sun 1:00 pm @ Det
Mitchell Evans,41949,Car,TE,,,Jul 31 12:41 AM,N,Sun 1:00 pm @ Cle
Kenny McIntosh,40267,Sea,RB,,,Jul 20 1:21 AM,N,Sun 1:00 pm @ Was
Quentin Skinner,42223,Buf,WR,,,Jul 13 3:06 AM,N,Sun 1:00 pm vs LAC
Montrell Johnson Jr.,42173,Car,RB,,,May 20 2:06 AM,N,Sun 1:00 pm @ Cle
