Date,Player,Team,Position,Change
Sep 8,Julian Neal,Sea,CB,On Injured Reserve
Sep 8,Tory Horton,Sea,WR,On Injured Reserve
Sep 8,TreVeyon Henderson,NE,RB,On Injured Reserve
Sep 8,Nick Emmanwori,Sea,S,On Injured Reserve
Sep 8,AJ Barner,Sea,TE,On Injured Reserve
Sep 8,Emanuel Wilson,Sea,RB,On Injured Reserve
Sep 8,Ty Okada,Sea,S,On Injured Reserve
Sep 8,Christian Barmore,NE,"DL,DE",On Injured Reserve
