player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury,status_col,updated,depth_chart,source_file
Dan Chisena,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Car,game-day-calls.txt
Jordyn Tyson,WR,WR,NO,IR-R,Bal,away,Sun 1:00 pm,Hamstring,IR-R,Sep 16 3:36 AM,NO,game-day-calls.txt
Ray-Ray McCloud III,WR,WR,Chi,NA,Min,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Chi,game-day-calls.txt
Cedrick Wilson Jr.,WR,WR,Det,NA,Buf,away,Thu 8:15 pm,Knee,Q,Sep 16 3:36 AM,Det,game-day-calls.txt
Sincere Brown,WR,WR,LAC,NA,LV,home,Sun 4:05 pm,Undisclosed,Q,Sep 16 3:36 AM,LAC,game-day-calls.txt
Omar Cooper Jr.,WR,WR,NYJ,Q,GB,home,Sun 1:00 pm,Ankle,Q,Sep 16 3:36 AM,NYJ,game-day-calls.txt
Hayden Large,TE,TE,Chi,IR,Min,home,Sun 1:00 pm,Undisclosed,IR,Sep 16 3:36 AM,Chi,game-day-calls.txt
Corey Rucker,WR,WR,LV,IR,LAC,away,Sun 4:05 pm,Undisclosed,IR,Sep 16 3:36 AM,LV,game-day-calls.txt
Jake Tonges,TE,TE,SF,IR,Mia,home,Sun 4:25 pm,Knee - MCL,IR,Sep 16 3:36 AM,SF,game-day-calls.txt
Caullin Lacy,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,NYJ,game-day-calls.txt
Sam Darnold,QB,QB,Sea,O,Ari,away,Sun 4:25 pm,Lower Body,O,Sep 16 3:36 AM,Sea,game-day-calls.txt
Michael Pittman Jr.,WR,WR,Pit,Q,NE,away,Sun 1:00 pm,Foot,Q,Sep 16 3:36 AM,Pit,game-day-calls.txt
Gunner Olszewski,WR,WR,NYG,IR,LAR,away,Mon 8:15 pm,Achilles,IR,Sep 16 3:36 AM,NYG,game-day-calls.txt
Joe Burrow,QB,QB,Cin,Q,Hou,away,Sun 1:00 pm,Back,Q,Sep 16 3:36 AM,Cin,game-day-calls.txt
Tua Tagovailoa,QB,QB,Atl,Q,Car,home,Sun 1:00 pm,Oblique,Q,Sep 16 3:36 AM,Atl,game-day-calls.txt
Jermar Jefferson,RB,RB,Min,NA,Chi,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Min,game-day-calls.txt
Aaron Anderson,WR,WR,Cle,NA,TB,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Cle,game-day-calls.txt
Pierre Strong Jr.,RB,RB,GB,NA,NYJ,away,Sun 1:00 pm,Hamstring,Q,Sep 16 3:36 AM,GB,game-day-calls.txt
DJ Rogers,TE,TE,Dal,IR,Was,home,Sun 4:25 pm,Knee,IR,Sep 16 3:36 AM,Dal,game-day-calls.txt
Danny Gray,WR,WR,Phi,NA,Ten,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Phi,game-day-calls.txt
Brandon Aiyuk,WR,WR,SF,NA,Mia,home,Sun 4:25 pm,Knee - ACL + MCL,DNR,Sep 16 3:36 AM,SF,game-day-calls.txt
Jaren Kanak,TE,TE,Ten,IR,Phi,home,Sun 1:00 pm,Pectoral,IR,Sep 16 3:36 AM,Ten,game-day-calls.txt
D'Andre Swift,RB,RB,Chi,Q,Min,home,Sun 1:00 pm,Ankle,Q,Sep 16 3:36 AM,Chi,game-day-calls.txt
Calvin Austin III,WR,WR,NYG,IR,LAR,away,Mon 8:15 pm,Knee,IR,Sep 16 3:36 AM,NYG,game-day-calls.txt
Kenny Yeboah,TE,TE,Ari,NA,Sea,home,Sun 4:25 pm,Hamstring,Q,Sep 16 3:36 AM,Ari,game-day-calls.txt
Matthew Caldwell,QB,QB,LAR,IR,NYG,home,Mon 8:15 pm,Undisclosed,IR,Sep 16 3:36 AM,LAR,game-day-calls.txt
Jam Miller,RB,RB,NE,NA,Pit,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,NE,game-day-calls.txt
RJ Maryland,TE,TE,GB,NA,NYJ,away,Sun 1:00 pm,Hamstring,Q,Sep 16 3:36 AM,GB,game-day-calls.txt
Miles Kitselman,TE,TE,Det,NA,Buf,away,Thu 8:15 pm,Leg,Q,Sep 16 3:36 AM,Det,game-day-calls.txt
Antonio Gibson,RB,RB,NE,NA,Pit,home,Sun 1:00 pm,Knee - ACL,Q,Sep 16 3:36 AM,NE,game-day-calls.txt
Jeff Caldwell,WR,WR,KC,IR,Ind,home,Sun 8:20 pm,Knee,IR,Sep 16 3:36 AM,KC,game-day-calls.txt
Nikola Kalinic,TE,TE,Chi,IR,Min,home,Sun 1:00 pm,Knee,IR,Sep 16 3:36 AM,Chi,game-day-calls.txt
Harrison Bryant,TE,TE,Hou,NA,Cin,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Hou,game-day-calls.txt
Le'Veon Moss,RB,RB,Mia,NA,SF,away,Sun 4:25 pm,Undisclosed,RET,Sep 16 3:36 AM,Mia,game-day-calls.txt
Gabe Davis,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,Knee - ACL,Q,Sep 16 3:36 AM,Buf,game-day-calls.txt
EJ Smith,RB,RB,KC,NA,Ind,home,Sun 8:20 pm,Undisclosed,Q,Sep 16 3:36 AM,KC,game-day-calls.txt
John Michael Gyllenborg,TE,TE,KC,,Ind,home,Sun 8:20 pm,Knee,IR,Sep 16 3:36 AM,KC,game-day-calls.txt
Chase Curtis,TE,TE,NYJ,NA,GB,home,Sun 1:00 pm,Knee,Q,Sep 16 3:36 AM,NYJ,game-day-calls.txt
John FitzPatrick,TE,TE,GB,NA,NYJ,away,Sun 1:00 pm,Achilles,Q,Sep 16 3:36 AM,GB,game-day-calls.txt
Jordan Mason,RB,RB,Min,IR,Chi,away,Sun 1:00 pm,Thumb,IR,Sep 16 3:36 AM,Min,game-day-calls.txt
Joe Royer,TE,TE,Cle,,TB,away,Sun 1:00 pm,Personal,NFI-R,Sep 16 3:36 AM,Cle,game-day-calls.txt
DT Sheffield,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,NYJ,game-day-calls.txt
Adam Randall,RB,RB,Bal,IR-R,NO,home,Sun 1:00 pm,Undisclosed,IR-R,Sep 16 3:36 AM,Bal,game-day-calls.txt
Ty Johnson,RB,RB,Buf,Q,Det,home,Thu 8:15 pm,Hamstring,Q,Sep 16 3:36 AM,Buf,game-day-calls.txt
Isiah Pacheco,RB,RB,Det,IR,Buf,away,Thu 8:15 pm,Back,IR,Sep 16 3:36 AM,Det,game-day-calls.txt
Brittain Brown,RB,RB,Chi,IR,Min,home,Sun 1:00 pm,Undisclosed,IR,Sep 16 3:36 AM,Chi,game-day-calls.txt
Skylar Thompson,QB,QB,Bal,IR,NO,home,Sun 1:00 pm,Undisclosed,IR,Sep 16 3:36 AM,Bal,game-day-calls.txt
Chris Oladokun,QB,QB,KC,NA,Ind,home,Sun 8:20 pm,Undisclosed,Q,Sep 16 3:36 AM,KC,game-day-calls.txt
Dominic Richardson,RB,RB,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,NYJ,game-day-calls.txt
Kendrick Law,WR,WR,Det,IR,Buf,away,Thu 8:15 pm,Knee - ACL,IR,Sep 16 3:36 AM,Det,game-day-calls.txt
Chig Okonkwo,TE,TE,Was,Q,Dal,away,Sun 4:25 pm,Hamstring,Q,Sep 16 3:36 AM,Was,game-day-calls.txt
Michael Woods II,WR,WR,Den,NA,Jax,home,Sun 4:05 pm,Leg,Q,Sep 16 3:36 AM,Den,game-day-calls.txt
Jakobi Meyers,WR,WR,Jax,Q,Den,away,Sun 4:05 pm,Thumb,Q,Sep 16 3:36 AM,Jax,game-day-calls.txt
Grant Calcaterra,TE,TE,Phi,IR-R,Ten,away,Sun 1:00 pm,Back,IR-R,Sep 16 3:36 AM,Phi,game-day-calls.txt
D.J. Montgomery,WR,WR,Ind,IR,KC,away,Sun 8:20 pm,Abdomen,IR,Sep 16 3:36 AM,Ind,game-day-calls.txt
Ashton Dulin,WR,WR,Ind,Q,KC,away,Sun 8:20 pm,Ankle,Q,Sep 16 3:36 AM,Ind,game-day-calls.txt
Kejon Owens,RB,RB,Min,NA,Chi,away,Sun 1:00 pm,Illness,Q,Sep 16 3:36 AM,Min,game-day-calls.txt
Ty Chandler,RB,RB,NO,IR,Bal,away,Sun 1:00 pm,Knee,IR,Sep 16 3:36 AM,NO,game-day-calls.txt
David Sills V,WR,WR,TB,IR-R,Cle,home,Sun 1:00 pm,Undisclosed,IR-R,Sep 16 3:36 AM,TB,game-day-calls.txt
Cole Turner,TE,TE,Mia,IR,SF,away,Sun 4:25 pm,Undisclosed,IR,Sep 16 3:36 AM,Mia,game-day-calls.txt
Robbie Ouzts,RB,"RB,TE",Sea,IR,Ari,away,Sun 4:25 pm,Neck,IR,Sep 16 3:36 AM,Sea,game-day-calls.txt
Chase Roberts,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,Undisclosed,Q,Sep 16 3:36 AM,LV,game-day-calls.txt
Jacoby Jones,WR,WR,Was,NA,Dal,away,Sun 4:25 pm,Undisclosed,Q,Sep 16 3:36 AM,Was,game-day-calls.txt
Jimmy Holiday,WR,WR,KC,IR,Ind,home,Sun 8:20 pm,Undisclosed,IR,Sep 16 3:36 AM,KC,game-day-calls.txt
Ben Yurosek,TE,TE,Min,IR,Chi,away,Sun 1:00 pm,Undisclosed,IR,Sep 16 3:36 AM,Min,game-day-calls.txt
Beaux Collins,WR,WR,Atl,IR-R,Car,home,Sun 1:00 pm,Undisclosed,IR-R,Sep 16 3:36 AM,Atl,game-day-calls.txt
