player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury_type,depth_chart,source_file
Jake Moody,K,K,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Eric Gray,RB,RB,Cle,NA,TB,away,Sun 1:00 pm,,Cle,injury-report.txt
Dameon Pierce,RB,RB,Phi,NA,Ten,away,Sun 1:00 pm,,Phi,injury-report.txt
Clayton Tune,QB,QB,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Sean Clifford,QB,QB,Cin,NA,Hou,away,Sun 1:00 pm,,Cin,injury-report.txt
Evan Hull,RB,RB,Ari,NA,Sea,home,Sun 4:25 pm,,Ari,injury-report.txt
Israel Abanikanda,RB,RB,Dal,NA,Was,home,Sun 4:25 pm,,Dal,injury-report.txt
Charlie Jones,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
Jake Haener,QB,QB,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
B.T. Potter,K,K,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Joel Wilson,TE,TE,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Ben Sims,TE,TE,Mia,NA,SF,away,Sun 4:25 pm,Undisclosed,Mia,injury-report.txt
Desmond Ridder,QB,QB,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Dylan Drummond,WR,WR,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
Jalen Moreno-Cropper,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Lucky Jackson,WR,WR,Det,NA,Buf,away,Thu 8:15 pm,,Det,injury-report.txt
Robert Henry Jr.,RB,RB,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
Charlie Smyth,K,K,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Dante Miller,RB,RB,NYG,NA,LAR,away,Mon 8:15 pm,Groin,NYG,injury-report.txt
Chris Hilton Jr.,WR,WR,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Owen Wright,RB,RB,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Velus Jones Jr.,WR,"WR,RB",Sea,NA,Ari,away,Sun 4:25 pm,,Sea,injury-report.txt
Eric Rivers Jr.,WR,WR,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Noah Short,WR,WR,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Vinny Anthony II,WR,WR,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
