player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury_type,depth_chart,source_file
Jawhar Jordan,RB,RB,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Tahj Washington,WR,WR,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Jaheim Bell,TE,TE,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Devin Culp,TE,TE,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Carter Bradley,QB,QB,Jax,NA,Den,away,Sun 4:05 pm,Thumb,Jax,injury-report.txt
John Rhys Plumlee,WR,WR,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Cody Schrader,RB,RB,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Xavier Weaver,WR,WR,Ari,NA,Sea,home,Sun 4:25 pm,Hamstring,Ari,injury-report.txt
Jha'Quan Jackson,WR,WR,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Ja'Corey Brooks,WR,WR,Was,NA,Dal,away,Sun 4:25 pm,Undisclosed,Was,injury-report.txt
Isaiah Wooden,WR,WR,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Marcedes Lewis,TE,TE,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Thomas Gordon,TE,TE,Det,NA,Buf,away,Thu 8:15 pm,,Det,injury-report.txt
Jaden Smith,WR,WR,Dal,NA,Was,home,Sun 4:25 pm,,Dal,injury-report.txt
Ty Pezza,TE,TE,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Hunter Dekkers,QB,QB,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Lucas Scott,RB,RB,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Kyrese Rowan,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Drake Dabney,TE,TE,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Jamari Thrash,WR,WR,Cle,NA,TB,away,Sun 1:00 pm,Undisclosed,Cle,injury-report.txt
Joe Milton III,QB,QB,Dal,NA,Was,home,Sun 4:25 pm,,Dal,injury-report.txt
Ainias Smith,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,Undisclosed,Car,injury-report.txt
Dalevon Campbell,WR,WR,LAC,NA,LV,home,Sun 4:05 pm,Leg,LAC,injury-report.txt
Max Hurleman,WR,"WR,RB",Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Bub Means,WR,WR,Cle,NA,TB,away,Sun 1:00 pm,,Cle,injury-report.txt
Anthony Gould,WR,WR,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Luke Floriea,WR,WR,Cle,NA,TB,away,Sun 1:00 pm,,Cle,injury-report.txt
Ja'seem Reed,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Austin Reed,QB,QB,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
JaQuae Jackson,WR,WR,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Ben Sauls,K,K,NYG,NA,LAR,away,Mon 8:15 pm,Undisclosed,NYG,injury-report.txt
Jabari Small,RB,RB,Det,NA,Buf,away,Thu 8:15 pm,,Det,injury-report.txt
Carson Steele,RB,RB,Phi,NA,Ten,away,Sun 1:00 pm,,Phi,injury-report.txt
Kedon Slovis,QB,QB,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Tre Watson,TE,TE,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Zach Horton,TE,TE,Det,NA,Buf,away,Thu 8:15 pm,,Det,injury-report.txt
Shawn Bowman,TE,TE,Ari,NA,Sea,home,Sun 4:25 pm,,Ari,injury-report.txt
Baylor Cupp,TE,TE,Ari,NA,Sea,home,Sun 4:25 pm,,Ari,injury-report.txt
Qadir Ismail,TE,TE,Chi,NA,Min,home,Sun 1:00 pm,,Chi,injury-report.txt
Gage Larvadain,WR,WR,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Julian Hicks,WR,WR,Sea,NA,Ari,away,Sun 4:25 pm,,Sea,injury-report.txt
Brenden Bates,TE,TE,Cle,NA,TB,away,Sun 1:00 pm,Undisclosed,Cle,injury-report.txt
John Jiles,WR,WR,NE,NA,Pit,home,Sun 1:00 pm,,NE,injury-report.txt
Hayden Rucci,TE,TE,Jax,NA,Den,away,Sun 4:05 pm,,Jax,injury-report.txt
Terrell Jennings,RB,RB,NE,NA,Pit,home,Sun 1:00 pm,Undisclosed,NE,injury-report.txt
Lenny Krieg,K,K,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Deion Hankins,RB,RB,Chi,NA,Min,home,Sun 1:00 pm,,Chi,injury-report.txt
Isaiah Neyor,WR,WR,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Messiah Swinson,TE,TE,Cle,NA,TB,away,Sun 1:00 pm,,Cle,injury-report.txt
Joshua Cephus,WR,WR,Jax,NA,Den,away,Sun 4:05 pm,,Jax,injury-report.txt
Jermaine Terry,TE,TE,Cle,NA,TB,away,Sun 1:00 pm,,Cle,injury-report.txt
Juice Wells Jr.,WR,WR,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
Michael Wiley,RB,RB,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Sam Hartman,QB,QB,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
Frank Gore Jr.,RB,RB,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Bryce Oliver,WR,WR,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Dayton Wade,WR,WR,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Xavier Johnson,WR,WR,Cin,NA,Hou,away,Sun 1:00 pm,,Cin,injury-report.txt
Lawrence Keys,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,Leg,Buf,injury-report.txt
Ian Wheeler,RB,RB,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Blake Watson,RB,RB,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Jacoby Jones,WR,WR,Was,NA,Dal,away,Sun 4:25 pm,Undisclosed,Was,injury-report.txt
Jack Westover,RB,"RB,TE",Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
Cam Grandy,TE,TE,Min,NA,Chi,away,Sun 1:00 pm,,Min,injury-report.txt
Treyton Welch,TE,TE,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Mason Pline,TE,TE,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
McCallan Castles,TE,TE,GB,NA,NYJ,away,Sun 1:00 pm,Undisclosed,GB,injury-report.txt
Kendall Milton,RB,RB,Cin,NA,Hou,away,Sun 1:00 pm,,Cin,injury-report.txt
Diego Pavia,QB,QB,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Kevin Austin Jr.,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Coleman Owen,WR,WR,Ind,NA,KC,away,Sun 8:20 pm,Concussion,Ind,injury-report.txt
Sahmir Hagans,WR,WR,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Gabriel Benyard,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Jackson Acker,RB,RB,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Miles Sanders,RB,RB,Dal,NA,Was,home,Sun 4:25 pm,,Dal,injury-report.txt
Mecole Hardman Jr.,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Parris Campbell,WR,WR,Dal,NA,Was,home,Sun 4:25 pm,Undisclosed,Dal,injury-report.txt
Jordon Vaughn,RB,RB,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
E.J. Horton,WR,WR,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Jonathan Brady,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Kentrel Bullock,RB,RB,Cin,NA,Hou,away,Sun 1:00 pm,,Cin,injury-report.txt
Xavier Loyd,WR,WR,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
Patrick Gurd,TE,TE,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Will Grier,QB,QB,Dal,NA,Was,home,Sun 4:25 pm,Personal,Dal,injury-report.txt
Alexander Mattison,RB,RB,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Hakeem Butler,WR,WR,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Elijah Tau-Tolliver,RB,RB,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Jaden Nixon,RB,RB,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Lincoln Pare,RB,RB,Ind,NA,KC,away,Sun 8:20 pm,Undisclosed,Ind,injury-report.txt
Jamal Haynes,RB,RB,Cin,NA,Hou,away,Sun 1:00 pm,,Cin,injury-report.txt
Jacob De Jesus,WR,WR,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
Jason Sanders,K,K,NYJ,NA,GB,home,Sun 1:00 pm,,NYJ,injury-report.txt
Jimmy Kibble,WR,WR,NE,NA,Pit,home,Sun 1:00 pm,Undisclosed,NE,injury-report.txt
Justin Watson,WR,WR,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Cameron Dorner,WR,WR,NE,NA,Pit,home,Sun 1:00 pm,,NE,injury-report.txt
Marquez Valdes-Scantling,WR,WR,LAC,,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Ray-Ray McCloud III,WR,WR,Chi,NA,Min,home,Sun 1:00 pm,Undisclosed,Chi,injury-report.txt
Cedrick Wilson Jr.,WR,WR,Det,NA,Buf,away,Thu 8:15 pm,Knee,Det,injury-report.txt
Braxton Berrios,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
Tanner Hudson,TE,TE,Cin,NA,Hou,away,Sun 1:00 pm,,Cin,injury-report.txt
Omari Kelly,WR,WR,Chi,NA,Min,home,Sun 1:00 pm,,Chi,injury-report.txt
Nick DeGennaro,WR,WR,NE,NA,Pit,home,Sun 1:00 pm,,NE,injury-report.txt
Trent Sherfield,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Kenny Fletcher Jr.,TE,TE,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Damon Bankston,RB,RB,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Malik Turner,WR,WR,SF,NA,Mia,home,Sun 4:25 pm,,SF,injury-report.txt
John Wolford,QB,QB,Min,NA,Chi,away,Sun 1:00 pm,,Min,injury-report.txt
Squirrel White,WR,WR,Chi,NA,Min,home,Sun 1:00 pm,Personal,Chi,injury-report.txt
Omari Evans,WR,WR,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
Michael Briscoe,WR,WR,Min,NA,Chi,away,Sun 1:00 pm,,Min,injury-report.txt
Will Dissly,TE,TE,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Dane Key,WR,WR,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Treyvhon Saunders,WR,WR,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Craig Reynolds,RB,RB,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
D'Ernest Johnson,RB,RB,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Daniel Sobkowicz,WR,WR,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Jalen Walthall,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,NYJ,injury-report.txt
Sean Brown,WR,WR,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Jalen Reagor,WR,WR,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Brandon Aiyuk,WR,WR,SF,NA,Mia,home,Sun 4:25 pm,Knee - ACL + MCL,SF,injury-report.txt
Noah Whittington,RB,RB,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Coleman Bennett,RB,RB,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Desmond Reid,RB,RB,Buf,NA,Det,home,Thu 8:15 pm,Undisclosed,Buf,injury-report.txt
Dontae McMillan,RB,RB,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Cortez Braham Jr.,WR,WR,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Cam Akers,RB,RB,Sea,NA,Ari,away,Sun 4:25 pm,,Sea,injury-report.txt
Octavian Smith Jr.,WR,WR,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Jack Velling,TE,TE,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
Greg Dortch,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Donald Parham Jr.,TE,TE,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Hunter Renfrow,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
DeShawn Hanika,TE,TE,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Easton Stick,QB,QB,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Darius Slayton,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
Levi Wentz,WR,WR,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Trayveon Williams,RB,RB,Det,NA,Buf,away,Thu 8:15 pm,,Det,injury-report.txt
Juwann Winfree,WR,WR,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Travis Homer,RB,RB,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Scotty Miller,WR,WR,Chi,NA,Min,home,Sun 1:00 pm,,Chi,injury-report.txt
Jake Retzlaff,QB,QB,Sea,NA,Ari,away,Sun 4:25 pm,,Sea,injury-report.txt
Chris Myarick,TE,TE,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Jake Browning,QB,QB,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Brett Rypien,QB,QB,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Stephen Carlson,TE,TE,Chi,NA,Min,home,Sun 1:00 pm,,Chi,injury-report.txt
Sam Scott,RB,RB,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,NYJ,injury-report.txt
Tyree Jackson,TE,TE,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
Quentin Moore,TE,TE,Was,NA,Dal,away,Sun 4:25 pm,Undisclosed,Was,injury-report.txt
Trenton Irwin,WR,WR,SF,NA,Mia,home,Sun 4:25 pm,,SF,injury-report.txt
Chase Edmonds,RB,RB,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
Le'Meke Brockington,WR,WR,Atl,NA,Car,home,Sun 1:00 pm,Undisclosed,Atl,injury-report.txt
Denzel Mims,WR,WR,Dal,NA,Was,home,Sun 4:25 pm,,Dal,injury-report.txt
Roydell Williams,RB,RB,Det,NA,Buf,away,Thu 8:15 pm,,Det,injury-report.txt
Brandon Allen,QB,QB,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
Jeff Driskel,QB,QB,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
Justin Jones,RB,RB,Sea,NA,Ari,away,Sun 4:25 pm,,Sea,injury-report.txt
Grant Finley,RB,RB,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
Connor Hulstein,TE,TE,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,NYJ,injury-report.txt
Drew Biber,TE,TE,Cle,NA,TB,away,Sun 1:00 pm,,Cle,injury-report.txt
Jeff Weimer,WR,WR,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
Liam Clifford,WR,WR,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Barika Kpeenu,RB,RB,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Tyler Moore,TE,TE,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Jeremiah Franklin,TE,TE,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Malick Meiga,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,Undisclosed,Car,injury-report.txt
Zay Jones,WR,WR,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Curtis Samuel,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
JuJu Smith-Schuster,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
Kyre Duplessis,WR,WR,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Tyreek Hill,WR,WR,Mia,NA,SF,away,Sun 4:25 pm,Knee - ACL,Mia,injury-report.txt
Alex Tecza,RB,RB,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Brandon Hayes,WR,WR,Phi,NA,Ten,away,Sun 1:00 pm,,Phi,injury-report.txt
Teddy Bridgewater,QB,QB,TB,NA,Cle,home,Sun 1:00 pm,Undisclosed,TB,injury-report.txt
Matt Prater,K,K,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Josh Johnson,QB,QB,Cin,NA,Hou,away,Sun 1:00 pm,,Cin,injury-report.txt
Russell Wilson,QB,QB,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
DeAndre Hopkins,WR,WR,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Zach Ertz,TE,TE,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
Brandon McManus,K,K,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Brandin Cooks,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Jimmy Garoppolo,QB,QB,LAR,NA,NYG,home,Mon 8:15 pm,,LAR,injury-report.txt
Matthew Henry,WR,WR,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Phillip Dorsett II,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Tyler Lockett,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Trevor Siemian,QB,QB,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Raheem Mostert,RB,RB,LV,NA,LAC,away,Sun 4:05 pm,Knee,LV,injury-report.txt
DeAndre Carter,WR,WR,Cle,NA,TB,away,Sun 1:00 pm,,Cle,injury-report.txt
Sterling Shepard,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,,NYJ,injury-report.txt
Nick Vannett,TE,TE,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Louis Hansen,TE,TE,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Kareem Hunt,RB,RB,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
Keelan Marion,WR,WR,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
E.J. Warner,QB,QB,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Dean Patterson IV,WR,WR,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Jordan Nubin,RB,RB,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Dare Ogunbowale,RB,RB,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
River Cracraft,WR,WR,Was,NA,Dal,away,Sun 4:25 pm,Undisclosed,Was,injury-report.txt
Brett Weaver,TE,TE,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Tommy Thomas,WR,WR,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Trent Howland,RB,RB,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Rodney Hammond Jr.,RB,RB,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Taysom Hill,TE,TE,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Paul Geelen,K,K,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Nick Chubb,RB,RB,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Julius Davis,RB,RB,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Stone Eby,TE,TE,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Dante Pettis,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Kolbe Katsis,WR,WR,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Brandon Frazier,TE,TE,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
Pharaoh Brown,TE,TE,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Kadarius Calloway,RB,RB,TB,NA,Cle,home,Sun 1:00 pm,Undisclosed,TB,injury-report.txt
Heinrich Haarberg,TE,TE,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Trent Taylor,WR,WR,SF,NA,Mia,home,Sun 4:25 pm,,SF,injury-report.txt
Miles Davis,RB,RB,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Josh Reynolds,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,,NYJ,injury-report.txt
Anderson Castle,RB,RB,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Terrill Davis,WR,WR,Min,NA,Chi,away,Sun 1:00 pm,,Min,injury-report.txt
Mante Morrow,WR,WR,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Nathan Peterman,QB,QB,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
Rashad Rochelle,WR,WR,Sea,NA,Ari,away,Sun 4:25 pm,,Sea,injury-report.txt
Trayvon Rudolph,WR,WR,Min,NA,Chi,away,Sun 1:00 pm,,Min,injury-report.txt
Anthony Firkser,TE,TE,Det,NA,Buf,away,Thu 8:15 pm,Leg,Det,injury-report.txt
Zane Gonzalez,K,K,Mia,NA,SF,away,Sun 4:25 pm,Undisclosed,Mia,injury-report.txt
David Moore,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Noah Brown,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Johnny Pascuzzi,TE,TE,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Austin Ekeler,RB,RB,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
Younghoe Koo,K,K,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
Kyron Hudson,WR,WR,Chi,NA,Min,home,Sun 1:00 pm,Undisclosed,Chi,injury-report.txt
Nick Mullens,QB,QB,Jax,NA,Den,away,Sun 4:05 pm,,Jax,injury-report.txt
Van Jefferson,WR,WR,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
Alex Bachman,WR,WR,LAR,NA,NYG,home,Mon 8:15 pm,,LAR,injury-report.txt
Ethan Sanchez,K,K,SF,NA,Mia,home,Sun 4:25 pm,,SF,injury-report.txt
Joshua Pitsenberger,RB,RB,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Kyle Trask,QB,QB,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Isaiah Hodgins,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
Ken Seals,QB,QB,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
Al-Jay Henderson,RB,RB,NYJ,NA,GB,home,Sun 1:00 pm,,NYJ,injury-report.txt
James Proche II,WR,WR,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Ademola Faleye,TE,TE,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Chris Freeman,K,K,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Quez Watkins,WR,WR,Phi,NA,Ten,away,Sun 1:00 pm,,Phi,injury-report.txt
Raylen Sharpe,WR,WR,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Tre' McKitty,TE,TE,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
Michael Carter,RB,RB,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Chase Curtis,TE,TE,NYJ,NA,GB,home,Sun 1:00 pm,Knee,NYJ,injury-report.txt
Hank Beatty,WR,WR,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Andre Baccellia,WR,WR,Ari,NA,Sea,home,Sun 4:25 pm,,Ari,injury-report.txt
Caullin Lacy,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,NYJ,injury-report.txt
Jaden Bradley,WR,WR,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
K.J. Osborn,WR,WR,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Isaiah Jacobs,RB,RB,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Eni Falayi,TE,TE,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Mekhi Mews,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
RJ Maryland,TE,TE,GB,NA,NYJ,away,Sun 1:00 pm,Hamstring,GB,injury-report.txt
Laith Marjan,K,K,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Miles Kitselman,TE,TE,Det,NA,Buf,away,Thu 8:15 pm,Leg,Det,injury-report.txt
Joseph Manjack,WR,WR,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Cameron Ross,WR,WR,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Ihmir Smith-Marsette,WR,WR,Ari,NA,Sea,home,Sun 4:25 pm,,Ari,injury-report.txt
Tyler Johnson,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,,NYJ,injury-report.txt
Cody Hardy,TE,TE,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Cody White,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
DeeJay Dallas,RB,RB,Min,NA,Chi,away,Sun 1:00 pm,,Min,injury-report.txt
Lawrence Cager,TE,TE,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
Rohan Jones,TE,TE,LAR,NA,NYG,home,Mon 8:15 pm,,LAR,injury-report.txt
Dean Connors,RB,RB,LAR,NA,NYG,home,Mon 8:15 pm,,LAR,injury-report.txt
Mark Gronowski,QB,QB,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Donaven McCulley,WR,WR,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Kansei Matsuzawa,K,K,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Anthony Hankerson,RB,RB,Sea,NA,Ari,away,Sun 4:25 pm,,Sea,injury-report.txt
Romello Brinson,WR,WR,Dal,NA,Was,home,Sun 4:25 pm,,Dal,injury-report.txt
