player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,roster_status,gp,bye,fan_pts,rank_preseason,rank_actual,pct_rostered,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,tgt,rec,rec_yds,rec_td,ret_td,two_pt,fum_lost,source_file
Davante Adams,WR,WR,LAR,,NYG,home,Mon 8:15 pm,JGrahnasaurs,1,11,4.10,55,210,97,0,0,0,0,0,0,6,3,26,0,0,0,0,wr.txt
A.J. Brown,WR,WR,NE,IR,Pit,home,Sun 1:00 pm,Monday Night Madison,1,11,4.10,23,211,99,0,0,0,0,0,0,4,3,26,0,0,0,0,wr.txt
Roman Wilson,WR,WR,Pit,,NE,away,Sun 1:00 pm,FA,1,9,4.10,346,213,0,0,0,0,0,0,0,6,3,26,0,0,0,0,wr.txt
Marvin Harrison Jr.,WR,WR,Ari,,Sea,home,Sun 4:25 pm,Locked In Michelle,1,14,3.80,68,224,92,0,0,0,0,0,0,3,1,33,0,0,0,0,wr.txt
Darnell Mooney,WR,WR,NYG,,LAR,away,Mon 8:15 pm,FA,1,8,3.70,261,226,1,0,0,0,0,0,0,2,2,27,0,0,0,0,wr.txt
Tre Tucker,WR,WR,LV,,LAC,away,Sun 4:05 pm,FA,1,13,3.70,142,227,32,0,0,0,0,0,0,4,2,27,0,0,0,0,wr.txt
Jerry Jeudy,WR,WR,Cle,,TB,away,Sun 1:00 pm,FA,1,11,3.60,196,230,10,0,0,0,0,0,0,4,2,26,0,0,0,0,wr.txt
Tre' Harris,WR,WR,LAC,,LV,home,Sun 4:05 pm,FA,1,7,3.50,184,232,4,0,0,0,0,0,0,6,3,20,0,0,0,0,wr.txt
Malachi Fields,WR,WR,NYG,,LAR,away,Mon 8:15 pm,FA,1,8,3.50,225,235,11,0,0,0,0,0,0,4,2,25,0,0,0,0,wr.txt
Jayden Reed,WR,WR,GB,,NYJ,away,Sun 1:00 pm,Locked In Michelle,1,11,3.50,94,233,83,0,0,0,0,0,0,7,3,20,0,0,0,0,wr.txt
Xavier Worthy,WR,WR,KC,,Ind,home,Sun 8:20 pm,FA,1,5,3.30,131,240,56,0,0,0,0,0,0,6,3,18,0,0,0,0,wr.txt
Dohnte Meyers,WR,WR,Cin,,Hou,away,Sun 1:00 pm,FA,1,6,3.30,2293,239,0,0,0,0,1,10,0,1,1,18,0,0,0,0,wr.txt
Ryan Flournoy,WR,WR,Dal,,Was,home,Sun 4:25 pm,FA,1,14,3.20,172,241,7,0,0,0,0,0,0,4,2,22,0,0,0,0,wr.txt
