season,week,opponent,player,pos,nfl_team,slot,proj,actual
2026,3,Maybe Mitchell,L. Jackson,QB,Bal,QB,22.89,
2026,3,Maybe Mitchell,J. Smith-Njigba,WR,Sea,WR,17.25,
2026,3,Maybe Mitchell,B. Hall,RB,NYJ,RB,14.26,
2026,3,Maybe Mitchell,J. Jefferson,WR,Min,WR,13.41,
2026,3,Maybe Mitchell,T. McBride,TE,Ari,TE,12.81,
2026,3,Maybe Mitchell,D. Montgomery,RB,Hou,RB,12.26,
2026,3,Maybe Mitchell,S. LaPorta,TE,Det,FLEX,9.41,
2026,3,Maybe Mitchell,E. Pineiro,K,SF,K,8.88,
2026,3,Maybe Mitchell,Rams,DEF,LAR,DEF,5.77,
