"key","player","pos","nfl_team","pct_rostered","fan_pts","gsis_id","player.nfl","pos.nfl","team","g","opp_tot","opp_pg","tgt_tot","car_tot","tgt_share","car_share","snap_pct","fp_tot","fp_pg","yds","td","opp_trend","fp_per_opp","opp_pctl","eff_rel","profile"
"jonathan mingo","Jonathan Mingo","WR","Dal",0,1.5,"00-0039062","Jonathan Mingo","WR","DAL",1,1,1,1,0,0.0333333333333333,0,0.19,1.5,1.5,10,0,NA,1.5,0.170588235294118,1.21472392638037,"-"
"kavontae turpin","KaVontae Turpin","WR","Dal",4,1.3,"00-0037801","KaVontae Turpin","WR","DAL",2,2,1,1,1,0.0166666666666667,0.0238095238095238,0.115,1.4,0.7,9,0,0,0.7,0.170588235294118,0.566871165644172,"-"
"jordan whittington","Jordan Whittington","WR","LAR",0,1.3,"00-0039751","Jordan Whittington","WR","LA",1,1,1,1,0,0.037037037037037,0,0.41,1.3,1.3,8,0,NA,1.3,0.170588235294118,1.05276073619632,"-"
"isaiah williams","Isaiah Williams","WR","NYJ",0,1.2,"00-0039451","Isaiah Williams","WR","NYJ",2,8,4,7,1,0.105072463768116,0.0185185185185185,0.71,9,4.5,55,0,6,1.125,0.588235294117647,0.911042944785276,"-"
"olamide zaccheaus","Olamide Zaccheaus","WR","Atl",0,1,"00-0035208","Olamide Zaccheaus","WR","ATL",2,4,2,4,0,0.0747028862478778,0,0.365,1.8,0.9,8,0,2,0.45,0.341176470588235,0.36441717791411,"-"
"jaylin lane","Jaylin Lane","WR","Was",0,0.9,"00-0040164","Jaylin Lane","WR","WAS",2,1,0.5,1,0,0.0172413793103448,0,0.205,0.9,0.45,4,0,-1,0.9,0.123529411764706,0.728834355828221,"-"
"keon coleman","Keon Coleman","WR","Buf",2,0.6,"00-0039901","Keon Coleman","WR","BUF",2,7,3.5,7,0,0.125,0,0.62,9.9,4.95,64,0,5,1.41428571428571,0.529411764705882,1.1453111305872,"-"
"troy franklin","Troy Franklin","WR","Den",1,0.5,"00-0039868","Troy Franklin","WR","DEN",2,4,2,3,1,0.0542328042328042,0.0333333333333333,0.27,3.7,1.85,32,0,0,0.925,0.341176470588235,0.749079754601227,"-"
"malik benson","Malik Benson","WR","LV",0,0.3,"00-0040894","Malik Benson","WR","LV",2,4,2,3,1,0.0517241379310345,0.0138888888888889,0.115,0.3,0.15,-2,0,-2,0.075,0.341176470588235,0.0607361963190184,"-"
"barion brown","Barion Brown","WR","NO",1,0.3,"00-0041099","Barion Brown","WR","NO",2,1,0.5,0,1,0,0.02,0.055,0.3,0.15,3,0,-1,0.3,0.123529411764706,0.242944785276074,"-"
"isaiah bond","Isaiah Bond","WR","Cle",0,0,"00-0040782","Isaiah Bond","WR","CLE",1,1,1,1,0,0.0333333333333333,0,0.07,1.5,1.5,10,0,NA,1.5,0.170588235294118,1.21472392638037,"-"
"germie bernard","Germie Bernard","WR","Pit",1,0,"00-0041489","Germie Bernard","WR","PIT",1,8,8,8,0,0.216216216216216,0,0.79,5.5,5.5,35,0,NA,0.6875,0.905882352941176,0.556748466257669,"BUY  volume, results lagging"
