"key","player","pos","nfl_team","pct_rostered","fan_pts","gsis_id","player.nfl","pos.nfl","team","g","opp_tot","opp_pg","tgt_tot","car_tot","tgt_share","car_share","snap_pct","fp_tot","fp_pg","yds","td","opp_trend","fp_per_opp","opp_pctl","eff_rel","profile"
"pat freiermuth","Pat Freiermuth","TE","Pit",8,13.1,"00-0036894","Pat Freiermuth","TE","PIT",2,11,5.5,10,1,0.135135135135135,0.0217391304347826,0.695,18.5,9.25,80,1,1,1.68181818181818,0.868131868131868,1.16792929292929,"hold volume + results"
"evan engram","Evan Engram","TE","Den",2,12.3,"00-0033881","Evan Engram","TE","DEN",2,6,3,6,0,0.110449735449735,0,0.575,14.5,7.25,60,1,-4,2.41666666666667,0.604395604395604,1.67824074074074,"-"
"tj hockenson","T.J. Hockenson","TE","Min",25,11.6,"00-0035229","T.J. Hockenson","TE","MIN",2,9,4.5,9,0,0.21395881006865,0,0.675,16,8,65,1,-1,1.77777777777778,0.813186813186813,1.23456790123457,"hold volume + results"
"noah fant","Noah Fant","TE","NO",0,11.3,"00-0035644","Noah Fant","TE","NO",2,8,4,8,0,0.0769230769230769,0,0.425,11.3,5.65,33,1,-8,1.4125,0.769230769230769,0.980902777777778,"-"
"cole kmet","Cole Kmet","TE","Chi",1,10.5,"00-0036290","Cole Kmet","TE","CHI",2,4,2,4,0,0.0743589743589744,0,0.63,10.5,5.25,35,1,-2,2.625,0.43956043956044,1.82291666666667,"FADE points on no volume"
"kenyon sadiq","Kenyon Sadiq","TE","NYJ",15,9.9,"00-0041032","Kenyon Sadiq","TE","NYJ",2,7,3.5,6,1,0.106884057971014,0.0128205128205128,0.39,12.6,6.3,41,1,-1,1.8,0.725274725274725,1.25,"-"
"brenton strange","Brenton Strange","TE","Jax",31,9.3,"00-0038935","Brenton Strange","TE","JAX",2,5,2.5,5,0,0.110714285714286,0,0.755,12,6,40,1,-1,2.4,0.538461538461538,1.66666666666667,"-"
"david njoku","David Njoku","TE","LAC",4,8.3,"00-0033885","David Njoku","TE","LAC",2,8,4,8,0,0.1502849002849,0,0.355,9.7,4.85,67,0,-2,1.2125,0.769230769230769,0.842013888888889,"-"
"eli raridon","Eli Raridon","TE","NE",1,6.7,"00-0041395","Eli Raridon","TE","NE",2,2,1,2,0,0.0399385560675883,0,0.37,10.2,5.1,32,1,0,5.1,0.142857142857143,3.54166666666667,"FADE points on no volume"
"michael mayer","Michael Mayer","TE","LV",22,6.2,"00-0039066","Michael Mayer","TE","LV",2,11,5.5,11,0,0.189655172413793,0,0.825,10,5,55,0,-3,0.909090909090909,0.868131868131868,0.631313131313131,"BUY  volume, results lagging"
"jonnu smith","Jonnu Smith","TE","GB",0,6,"00-0033858","Jonnu Smith","TE","GB",1,3,3,3,0,0.075,0,0.47,6,6,50,0,NA,2,0.604395604395604,1.38888888888889,"-"
"gunnar helm","Gunnar Helm","TE","Ten",2,4.8,"00-0040584","Gunnar Helm","TE","TEN",2,7,3.5,7,0,0.148109243697479,0,0.815,7.1,3.55,41,0,-3,1.01428571428571,0.725274725274725,0.70436507936508,"-"
"oronde gadsden","Oronde Gadsden","TE","LAC",7,4.2,"00-0040189","Oronde Gadsden II","TE","LAC",2,4,2,4,0,0.0754985754985755,0,0.31,13,6.5,50,1,0,3.25,0.43956043956044,2.25694444444444,"FADE points on no volume"
"hunter henry","Hunter Henry","TE","NE",54,4.1,"00-0033090","Hunter Henry","TE","NE",2,8,4,8,0,0.167434715821813,0,0.835,9.6,4.8,66,0,2,1.2,0.769230769230769,0.833333333333333,"-"
"cade otton","Cade Otton","TE","TB",3,4.1,"00-0038129","Cade Otton","TE","TB",2,11,5.5,11,0,0.183501683501683,0,0.935,10.4,5.2,64,0,1,0.945454545454545,0.868131868131868,0.656565656565657,"BUY  volume, results lagging"
"tommy tremble","Tommy Tremble","TE","Car",0,4,"00-0037005","Tommy Tremble","TE","CAR",2,7,3.5,7,0,0.104779411764706,0,0.56,4.9,2.45,29,0,-3,0.7,0.725274725274725,0.486111111111111,"-"
"darren waller","Darren Waller","TE","Car",2,3.8,"00-0031610","Darren Waller","TE","CAR",2,5,2.5,5,0,0.0762867647058824,0,0.395,20.6,10.3,61,2,1,4.12,0.538461538461538,2.86111111111111,"-"
"drew sample","Drew Sample","TE","Cin",0,3.4,"00-0035631","Drew Sample","TE","CIN",1,3,3,3,0,0.0882352941176471,0,0.66,3.4,3.4,19,0,NA,1.13333333333333,0.604395604395604,0.787037037037037,"-"
"josh oliver","Josh Oliver","TE","Min",0,3.2,"00-0035249","Josh Oliver","TE","MIN",2,5,2.5,5,0,0.113272311212815,0,0.625,6.1,3.05,46,0,-3,1.22,0.538461538461538,0.847222222222222,"-"
"luke farrell","Luke Farrell","TE","SF",0,2.9,"00-0036887","Luke Farrell","TE","SF",2,2,1,2,0,0.0303030303030303,0,0.625,2.9,1.45,19,0,-2,1.45,0.142857142857143,1.00694444444444,"-"
"darnell washington","Darnell Washington","TE","Pit",1,2.8,"00-0038558","Darnell Washington","TE","PIT",2,4,2,4,0,0.0540540540540541,0,0.585,4,2,25,0,0,1,0.43956043956044,0.694444444444444,"-"
"greg dulcich","Greg Dulcich","TE","Mia",10,2.8,"00-0037252","Greg Dulcich","TE","MIA",2,5,2.5,5,0,0.102254428341385,0,0.69,5.5,2.75,35,0,1,1.1,0.538461538461538,0.763888888888889,"-"
"chig okonkwo","Chig Okonkwo","TE","Was",31,2.6,"00-0037809","Chig Okonkwo","TE","WAS",1,3,3,3,0,0.103448275862069,0,0.56,2.6,2.6,16,0,NA,0.866666666666667,0.604395604395604,0.601851851851852,"-"
"foster moreau","Foster Moreau","TE","Hou",0,2.5,"00-0034981","Foster Moreau","TE","HOU",2,4,2,4,0,0.047027027027027,0,0.365,6.9,3.45,49,0,0,1.725,0.43956043956044,1.19791666666667,"-"
"brevyn spannford","Brevyn Spann-Ford","TE","Dal",0,2.4,"00-0039530","Brevyn Spann-Ford","TE","DAL",2,2,1,2,0,0.0333333333333333,0,0.3,2.4,1.2,14,0,-2,1.2,0.142857142857143,0.833333333333333,"-"
"aj barner","AJ Barner","TE","Sea",15,2.3,"00-0039793","AJ Barner","TE","SEA",2,4,2,3,1,0.0608974358974359,0.0125,0.84,9.7,4.85,22,1,0,2.425,0.43956043956044,1.68402777777778,"FADE points on no volume"
"john bates","John Bates","TE","Was",0,2.3,"00-0036628","John Bates","TE","WAS",1,3,3,3,0,0.103448275862069,0,0.49,2.3,2.3,13,0,NA,0.766666666666667,0.604395604395604,0.532407407407407,"-"
"marlin klein","Marlin Klein","TE","Hou",0,2.1,"00-0041472","Marlin Klein","TE","HOU",1,1,1,1,0,0.027027027027027,0,0.11,2.1,2.1,16,0,NA,2.1,0.142857142857143,1.45833333333333,"FADE points on no volume"
"adam trautman","Adam Trautman","TE","Den",0,2,"00-0036422","Adam Trautman","TE","DEN",1,3,3,3,0,0.111111111111111,0,0.37,2,2,10,0,NA,0.666666666666667,0.604395604395604,0.462962962962963,"-"
"blake whiteheart","Blake Whiteheart","TE","Cle",0,1.9,"00-0038710","Blake Whiteheart","TE","CLE",2,3,1.5,3,0,0.0560606060606061,0,0.43,10.1,5.05,31,1,1,3.36666666666667,0.384615384615385,2.33796296296296,"FADE points on no volume"
"davis allen","Davis Allen","TE","LAR",0,1.8,"00-0039074","Davis Allen","TE","LA",2,2,1,2,0,0.0351851851851852,0,0.43,3,1.5,20,0,0,1.5,0.142857142857143,1.04166666666667,"-"
"luke schoonmaker","Luke Schoonmaker","TE","Dal",0,1.7,"00-0038547","Luke Schoonmaker","TE","DAL",1,1,1,1,0,0.0333333333333333,0,0.22,1.7,1.7,12,0,NA,1.7,0.142857142857143,1.18055555555556,"-"
"mitchell evans","Mitchell Evans","TE","Car",0,1.4,"00-0040187","Mitchell Evans","TE","CAR",2,3,1.5,3,0,0.0450367647058824,0,0.49,3.2,1.6,22,0,-1,1.06666666666667,0.384615384615385,0.740740740740741,"-"
"nate boerkircher","Nate Boerkircher","TE","Jax",0,1.4,"00-0041503","Nate Boerkircher","TE","JAX",1,1,1,1,0,0.05,0,0.67,1.4,1.4,9,0,NA,1.4,0.142857142857143,0.972222222222222,"-"
"theo johnson","Theo Johnson","TE","NYG",0,1.4,"00-0039847","Theo Johnson","TE","NYG",2,5,2.5,5,0,0.0797413793103448,0,0.37,1.4,0.7,9,0,3,0.28,0.538461538461538,0.194444444444444,"-"
"jake briningstool","Jake Briningstool","TE","KC",0,1.4,"00-0040081","Jake Briningstool","TE","KC",1,1,1,1,0,0.04,0,0.19,1.4,1.4,9,0,NA,1.4,0.142857142857143,0.972222222222222,"-"
"daniel bellinger","Daniel Bellinger","TE","Ten",0,1.2,"00-0038115","Daniel Bellinger","TE","TEN",2,2,1,2,0,0.0472689075630252,0,0.365,1.2,0.6,7,0,0,0.6,0.142857142857143,0.416666666666667,"-"
