season,week,player,pos,nfl_team,slot,started,proj,actual
2026,3,P. Mahomes,QB,KC,QB,TRUE,20.90,
2026,3,D. Henry,RB,Bal,RB,TRUE,16.99,
2026,3,J. Williams,RB,Dal,RB,TRUE,13.32,
2026,3,D. Adams,WR,LAR,WR,TRUE,9.89,
2026,3,C. Sutton,WR,Den,WR,TRUE,8.81,
2026,3,J. Ferguson,TE,Dal,TE,TRUE,7.57,
2026,3,T. Etienne Jr.,RB,NO,FLEX,TRUE,9.68,
2026,3,H. Butker,K,KC,K,TRUE,9.06,
2026,3,Chiefs,DEF,KC,DEF,TRUE,7.77,
2026,3,M. Stafford,QB,LAR,BN,FALSE,16.65,
2026,3,R. Odunze,WR,Chi,BN,FALSE,7.69,
2026,3,W. Robinson,WR,Ten,BN,FALSE,7.28,
2026,3,W. Marks,RB,Hou,BN,FALSE,7.16,
2026,3,K. Gainwell,RB,TB,BN,FALSE,6.74,
2026,3,K. Raymond,WR,Chi,BN,FALSE,4.94,
