"gsis_id","player","pos","team","g","opp_tot","opp_pg","tgt_tot","car_tot","tgt_share","car_share","snap_pct","fp_tot","fp_pg","yds","td","opp_trend","fp_per_opp","opp_pctl","eff_rel","profile"
"00-0041512","Jadarian Price","RB","SEA",2,27,13.5,4,23,0.0801282051282051,0.389772727272727,0.41,11.3,5.65,118,0,3,0.418518518518519,0.719626168224299,0.666047525291925,"-"
"00-0037263","Tyler Allgeier","RB","ARI",2,26,13,4,22,0.0654885654885655,0.397058823529412,0.615,10.9,5.45,89,0,-12,0.419230769230769,0.710280373831776,0.667181030270298,"-"
"00-0035261","Tony Pollard","RB","TEN",2,24,12,3,21,0.0651260504201681,0.491379310344828,0.535,10.9,5.45,99,0,6,0.454166666666667,0.672897196261682,0.72277944945949,"-"
"00-0038797","Emanuel Wilson","RB","SEA",2,24,12,1,23,0.0192307692307692,0.307954545454545,0.235,9.5,4.75,95,0,20,0.395833333333333,0.672897196261682,0.629945391730748,"-"
"00-0040236","Kyle Monangai","RB","CHI",2,24,12,4,20,0.0717948717948718,0.289495450785773,0.385,26.2,13.1,182,1,0,1.09166666666667,0.672897196261682,1.73732308035217,"-"
"00-0040583","Woody Marks","RB","HOU",2,24,12,7,17,0.0735135135135135,0.362847222222222,0.495,10.5,5.25,75,0,4,0.4375,0.672897196261682,0.696255432965563,"-"
"00-0034844","Saquon Barkley","RB","PHI",2,23,11.5,4,19,0.0748663101604278,0.3625,0.435,11,5.5,100,0,-11,0.478260869565217,0.654205607476635,0.76112395156484,"-"
"00-0037239","Chris Olave","WR","NO",2,23,11.5,23,0,0.28125,0,0.85,41.8,20.9,268,1,-3,1.81739130434783,0.994117647058824,1.47175246732462,"hold volume + results"
"00-0037744","Trey McBride","TE","ARI",2,23,11.5,23,0,0.367983367983368,0,0.84,34.1,17.05,136,2,-3,1.48260869565217,1,1.02958937198068,"hold volume + results"
"00-0039738","Blake Corum","RB","LA",2,23,11.5,1,22,0.0166666666666667,0.386699507389163,0.34,15.1,7.55,146,0,3,0.656521739130435,0.654205607476635,1.04481560623901,"-"
"00-0034383","Dalton Schultz","TE","HOU",2,22,11,22,0,0.248108108108108,0,0.67,25.5,12.75,175,0,6,1.15909090909091,0.989010989010989,0.804924242424243,"BUY  volume, results lagging"
"00-0036139","Rico Dowdle","RB","PIT",2,22,11,7,15,0.0945945945945946,0.342650103519669,0.42,8.5,4.25,65,0,-4,0.386363636363636,0.607476635514019,0.614874927813744,"-"
"00-0036554","Nico Collins","WR","HOU",1,11,11,10,1,0.27027027027027,0.03125,0.72,17.7,17.7,82,1,NA,1.60909090909091,0.98235294117647,1.30306748466258,"hold volume + results"
"00-0037256","Rachaad White","RB","WAS",2,22,11,8,14,0.122718052738337,0.21875,0.465,15,7.5,110,0,4,0.681818181818182,0.607476635514019,1.08507340202425,"-"
"00-0037746","Brian Robinson","RB","ATL",2,22,11,2,20,0.032258064516129,0.317036290322581,NA,10.8,5.4,98,0,4,0.490909090909091,0.607476635514019,0.781252849457463,"-"
"00-0038543","Jaxon Smith-Njigba","WR","SEA",2,22,11,22,0,0.440705128205128,0,0.785,60.2,30.1,277,4,0,2.73636363636364,0.98235294117647,2.2159509202454,"hold volume + results"
"00-0039811","MarShawn Lloyd","RB","GB",2,22,11,3,19,0.0469827586206897,0.476190476190476,0.355,11.3,5.65,63,1,-6,0.513636363636364,0.607476635514019,0.817421962858272,"-"
"00-0041052","Kaelon Black","RB","SF",2,22,11,1,21,0.0151515151515152,0.362962962962963,0.38,10,5,95,0,-8,0.454545454545455,0.607476635514019,0.72338226801617,"-"
"00-0034857","Josh Allen","QB","BUF",2,20,10,0,20,0,0.337301587301587,1,76.48,38.24,92,4,8,3.824,1,1.0448087431694,"hold volume + results"
"00-0035640","DK Metcalf","WR","PIT",2,19,9.5,19,0,0.256756756756757,0,NA,10.7,5.35,67,0,-1,0.563157894736842,0.964705882352941,0.456054246044559,"BUY  volume, results lagging"
"00-0036912","DeVonta Smith","WR","PHI",2,19,9.5,19,0,0.327540106951872,0,0.915,29.5,14.75,170,1,7,1.55263157894737,0.964705882352941,1.25734581853407,"hold volume + results"
"00-0038124","Christian Watson","WR","GB",2,19,9.5,19,0,0.289655172413793,0,0.83,41.8,20.9,188,3,3,2.2,0.964705882352941,1.78159509202454,"hold volume + results"
"00-0036158","J.K. Dobbins","RB","DEN",2,18,9,0,18,0,0.445238095238095,0.385,7.2,3.6,72,0,2,0.4,0.588785046728972,0.636576395854229,"-"
"00-0036358","CeeDee Lamb","WR","DAL",2,18,9,17,1,0.278494623655914,0.0277777777777778,0.78,44.2,22.1,197,3,0,2.45555555555556,0.929411764705882,1.98854805725971,"hold volume + results"
"00-0037838","Isaiah Likely","TE","NYG",2,18,9,18,0,0.294181034482759,0,0.59,29.6,14.8,111,2,2,1.64444444444444,0.978021978021978,1.14197530864198,"hold volume + results"
"00-0038551","Kendre Miller","RB","NO",1,9,9,0,9,0,0.36,0.29,9,9,30,1,NA,1,0.588785046728972,1.59144098963557,"-"
"00-0038606","Parker Washington","WR","JAX",2,18,9,18,0,0.364285714285714,0,0.71,30.1,15.05,181,1,6,1.67222222222222,0.929411764705882,1.35419222903885,"hold volume + results"
"00-0039075","Puka Nacua","WR","LA",1,9,9,9,0,0.333333333333333,0,0.7,9.9,9.9,74,0,NA,1.1,0.929411764705882,0.89079754601227,"hold volume + results"
"00-0039491","Jalen Coker","WR","CAR",2,18,9,18,0,0.272977941176471,0,0.8,40.4,20.2,204,2,0,2.24444444444444,0.929411764705882,1.81758691206544,"hold volume + results"
"00-0040124","Tetairoa McMillan","WR","CAR",2,18,9,18,0,0.273897058823529,0,0.81,20.6,10.3,176,0,2,1.14444444444444,0.929411764705882,0.92678936605317,"hold volume + results"
"00-0040667","Matthew Golden","WR","GB",2,18,9,18,0,0.253448275862069,0,0.84,20.3,10.15,153,0,-6,1.12777777777778,0.929411764705882,0.913292433537832,"hold volume + results"
"00-0039794","Braelon Allen","RB","NYJ",2,17,8.5,2,15,0.0356280193236715,0.220797720797721,0.355,12,6,55,1,-5,0.705882352941177,0.579439252336449,1.12337011033099,"-"
"00-0030506","Travis Kelce","TE","KC",2,16,8,16,0,0.227906976744186,0,0.78,29.2,14.6,172,1,6,1.825,0.967032967032967,1.26736111111111,"hold volume + results"
"00-0031381","Davante Adams","WR","LA",2,16,8,16,0,0.277777777777778,0,0.595,39.6,19.8,221,2,4,2.475,0.905882352941176,2.00429447852761,"hold volume + results"
"00-0036410","Tee Higgins","WR","CIN",2,16,8,16,0,0.249525616698292,0,0.72,19.4,9.7,154,0,4,1.2125,0.905882352941176,0.981901840490797,"hold volume + results"
"00-0038555","Tank Bigsby","RB","PHI",2,16,8,2,14,0.0294117647058824,0.223125,0.225,11.1,5.55,41,1,14,0.69375,0.560747663551402,1.10406218655968,"-"
"00-0039032","Tyjae Spears","RB","TEN",2,16,8,6,10,0.130252100840336,0.227832512315271,0.43,11.4,5.7,94,0,2,0.7125,0.560747663551402,1.13390170511535,"-"
"00-0039424","Devaughn Vele","WR","NO",2,16,8,16,0,0.195913461538462,0,0.935,25.3,12.65,133,1,-2,1.58125,0.905882352941176,1.28052147239264,"hold volume + results"
"00-0041489","Germie Bernard","WR","PIT",1,8,8,8,0,0.216216216216216,0,0.79,5.5,5.5,35,0,NA,0.6875,0.905882352941176,0.556748466257669,"BUY  volume, results lagging"
"00-0031588","Stefon Diggs","WR","WAS",2,15,7.5,15,0,0.24340770791075,0,0.57,32.7,16.35,102,3,-3,2.18,0.876470588235294,1.76539877300614,"hold volume + results"
"00-0036322","Justin Jefferson","WR","MIN",2,15,7.5,15,0,0.353546910755149,0,0.96,34.2,17.1,147,2,-3,2.28,0.876470588235294,1.84638036809816,"hold volume + results"
"00-0038618","Xavier Hutchinson","WR","HOU",2,15,7.5,15,0,0.171081081081081,0,0.685,9.9,4.95,69,0,3,0.66,0.876470588235294,0.534478527607362,"BUY  volume, results lagging"
"00-0039065","Sam LaPorta","TE","DET",2,15,7.5,15,0,0.194669365721997,0,0.895,21.5,10.75,100,1,-1,1.43333333333333,0.956043956043956,0.99537037037037,"hold volume + results"
"00-0039890","Adonai Mitchell","WR","NYJ",2,15,7.5,15,0,0.231884057971014,0,0.755,16.8,8.4,123,0,9,1.12,0.876470588235294,0.906993865030675,"hold volume + results"
"00-0039918","Caleb Williams","QB","CHI",2,15,7.5,0,15,0,0.208850289495451,0.93,45.98,22.99,107,2,-5,3.06533333333333,0.976190476190476,0.83752276867031,"BUY  volume, results lagging"
"00-0041547","KC Concepcion","WR","CLE",2,15,7.5,11,4,0.213636363636364,0.0899209486166008,0.675,11,5.5,80,0,-1,0.733333333333333,0.876470588235294,0.593865030674847,"BUY  volume, results lagging"
"00-0032464","Kalif Raymond","WR","CHI",2,14,7,14,0,0.256410256410256,0,0.61,18.9,9.45,124,0,-4,1.35,0.847058823529412,1.09325153374233,"hold volume + results"
"00-0034829","Mike Gesicki","TE","CIN",1,7,7,7,0,0.205882352941176,0,0.33,16.3,16.3,78,1,NA,2.32857142857143,0.934065934065934,1.61706349206349,"hold volume + results"
"00-0035250","Devin Singletary","RB","NYG",2,14,7,5,9,0.0845905172413793,0.152509652509653,0.31,12.7,6.35,47,1,-6,0.907142857142857,0.514018691588785,1.44366432631227,"-"
"00-0037247","George Pickens","WR","DAL",2,14,7,14,0,0.229032258064516,0,0.8,11.3,5.65,68,0,2,0.807142857142857,0.847058823529412,0.653637160385627,"BUY  volume, results lagging"
